,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
0,Vitolo,Spain,Sub,20.0,Sevilla,LM,20.0,7/3/2013,2020.0,83,184 cm,79 kg,Right,11/2/1989,27,LM/RM,High / High,4,3,85,86,25,23,21,61,80,80,25,78,70,80,81,82,83,81,82,81,63,75,70,65,77,79,73,76,62,74,75,14,11,8,16,16
1,Steven N'Zonzi,France,,,Sevilla,LDM,15.0,7/9/2015,2020.0,83,190 cm,75 kg,Right,12/15/1988,28,CDM/CM,Medium / Medium,3,3,82,72,75,78,83,87,82,70,85,77,85,59,82,78,56,62,86,90,31,43,69,79,79,64,66,73,42,57,55,16,7,16,16,13
2,Samir Nasri,France,,,Sevilla,CAM,10.0,8/24/2011,2019.0,83,175 cm,75 kg,Right,6/26/1987,29,LM/CM/CAM,High / Medium,5,4,87,85,35,44,37,33,77,79,37,83,82,80,86,76,79,78,75,62,92,85,50,42,74,77,80,77,79,77,72,1,1,1,1,1
3,Franco Vázquez,Italy,,,Sevilla,Sub,22.0,7/16/2016,2021.0,82,186 cm,82 kg,Left,2/22/1989,28,CAM/ST/CF,Medium / High,3,3,89,88,33,37,40,80,81,74,54,84,85,73,83,74,62,67,74,78,48,71,54,68,74,77,83,82,68,67,79,9,14,13,15,7
4,Iborra,Spain,,,Sevilla,Sub,8.0,8/20/2013,2020.0,82,195 cm,88 kg,Right,1/16/1988,29,CDM/CM,Medium / Medium,4,2,80,67,85,75,84,78,75,82,85,74,73,53,81,82,54,54,79,88,38,54,68,81,85,72,64,66,70,72,66,15,14,6,11,8
5,Adil Rami,France,Sub,5.0,Sevilla,RCB,23.0,7/1/2015,2019.0,82,190 cm,88 kg,Right,12/27/1985,31,CB,Medium / High,3,2,64,53,81,78,84,83,75,24,84,22,75,28,66,68,54,63,63,90,50,57,76,79,83,45,58,43,55,48,45,5,5,5,3,3
6,Michael Krohn-Dehli,Denmark,Sub,14.0,Sevilla,Sub,7.0,6/25/2015,2017.0,82,170 cm,68 kg,Right,6/6/1983,33,LM/CAM,Medium / Medium,4,3,82,79,54,61,73,67,85,84,75,86,73,86,84,85,70,69,71,66,78,76,58,50,81,78,68,77,83,76,53,16,10,15,8,11
7,Sergio Rico,Spain,Sub,13.0,Sevilla,GK,1.0,7/1/2012,2019.0,81,194 cm,88 kg,Right,9/1/1993,23,GK,Medium / Medium,3,1,12,14,18,11,11,27,78,11,23,45,29,17,23,23,50,53,31,67,61,62,63,11,19,14,12,24,20,24,15,81,80,78,79,83
8,Wissam Ben Yedder,France,,,Sevilla,Sub,12.0,7/30/2016,2021.0,81,170 cm,68 kg,Right,8/12/1990,26,ST,High / High,5,4,83,85,28,26,21,55,80,83,44,76,82,73,77,68,86,84,77,57,86,91,85,74,78,84,69,80,77,74,76,7,6,9,13,7
9,Daniel Carriço,Portugal,,,Sevilla,Sub,6.0,6/23/2014,2018.0,81,180 cm,80 kg,Right,8/4/1988,28,CB/CDM,Medium / Medium,3,2,69,58,77,81,84,89,75,57,84,62,81,61,78,79,57,60,72,77,68,59,91,80,66,48,50,39,54,62,47,15,14,15,10,12
10,Benoît Trémoulinas,France,,,Sevilla,Res,2.0,8/26/2014,2017.0,81,172 cm,65 kg,Left,12/28/1985,31,LB,High / Medium,3,2,80,75,79,81,80,72,82,73,72,70,76,86,81,77,82,82,87,63,78,81,74,67,74,58,65,82,59,77,47,14,5,11,14,8
11,Ganso,Brazil,,,Sevilla,Sub,19.0,7/21/2016,2021.0,80,184 cm,78 kg,Left,10/12/1989,27,CAM/CM,Medium / Low,3,4,84,85,41,37,45,56,75,74,47,87,85,83,86,84,36,34,71,67,56,67,33,65,77,72,79,80,76,76,75,7,9,14,12,11
12,Stevan Jovetić,Montenegro,,,Sevilla,ST,16.0,7/31/2015,2019.0,80,183 cm,79 kg,Right,11/2/1989,27,ST/CAM,High / Medium,4,4,88,85,26,30,32,50,76,80,30,78,80,72,78,64,78,81,69,75,69,80,70,68,82,80,82,85,72,80,79,9,9,5,7,10
