,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
0,Kiko Olivas,Spain,,,Girona,Sub,22.0,7/24/2015,2017.0,74,189 cm,83 kg,Right,8/21/1988,28,CB,Medium / Medium,3,2,66,49,76,67,81,68,71,59,72,49,72,44,64,56,40,53,91,89,50,55,60,71,59,56,36,30,36,38,53,7,8,15,8,14
1,Cifuentes,Spain,,,Girona,RWB,17.0,7/15/2016,2019.0,73,173 cm,65 kg,Right,10/5/1990,26,RWB/RM,High / Medium,3,2,69,71,64,73,69,73,63,69,65,46,76,73,64,55,88,85,92,67,77,81,81,55,74,42,46,59,48,57,33,6,8,13,10,9
2,Portu,Spain,,,Girona,Sub,9.0,7/1/2016,2019.0,73,178 cm,70 kg,Right,5/21/1992,24,CM/CAM,High / Medium,4,2,71,73,50,59,61,76,67,74,68,75,67,54,77,68,75,78,85,68,73,70,70,64,66,69,61,66,64,51,51,15,14,15,10,13
3,Borja García,Spain,,,Girona,CM,24.0,8/26/2015,2019.0,73,176 cm,72 kg,Right,11/2/1990,26,CM/LM,High / Medium,3,3,75,72,44,51,68,47,70,68,66,72,61,63,74,70,84,77,73,69,78,78,72,53,65,71,70,65,51,62,59,12,9,13,13,16
4,Juanpe,Spain,,,Girona,LCB,15.0,7/7/2016,2019.0,73,190 cm,85 kg,Right,4/30/1991,25,CB,Low / High,3,2,63,38,71,70,76,79,55,32,70,54,44,35,69,60,55,69,75,80,36,34,70,77,44,35,27,28,35,37,13,8,11,11,8,13
5,Alcalá,Spain,,,Girona,CB,5.0,8/30/2015,2019.0,73,196 cm,93 kg,Right,3/19/1989,28,CB,Medium / Medium,4,2,62,50,74,66,81,76,56,26,66,48,37,45,69,66,36,58,71,88,30,40,62,73,80,30,68,62,63,39,37,8,15,8,10,11
6,Pere Pons,Spain,,,Girona,RCM,8.0,9/1/2012,2018.0,72,177 cm,70 kg,Right,2/20/1993,24,CM/CDM,Medium / High,3,2,70,61,59,65,72,73,74,55,75,71,67,60,78,69,61,64,84,65,69,69,64,47,59,55,58,52,62,45,43,8,11,9,11,12
7,Ramalho,Spain,,,Girona,RCB,4.0,7/1/2016,2019.0,72,181 cm,68 kg,Right,6/10/1993,23,CB/RB,Medium / Medium,2,2,51,43,72,78,75,69,62,39,66,44,33,59,65,52,70,78,69,74,58,67,82,70,22,40,34,57,34,41,44,15,12,8,10,16
8,Yassine Bounou,Morocco,,,Girona,Sub,13.0,7/12/2016,2018.0,71,192 cm,78 kg,Left,4/5/1991,25,GK,Medium / Medium,3,1,12,20,20,15,18,25,69,10,12,37,39,15,39,44,37,34,43,69,29,38,48,14,25,14,19,12,19,24,23,71,68,69,78,64
9,Samuele Longo,Italy,,,Girona,RS,12.0,7/1/2012,2018.0,71,186 cm,78 kg,Right,1/12/1992,25,ST,High / Medium,3,2,71,70,11,19,24,77,66,67,28,45,63,56,63,40,72,75,64,69,65,71,80,65,73,74,64,58,43,64,75,10,7,13,8,14
10,Granell,Spain,,,Girona,LCM,6.0,7/1/2014,2018.0,70,175 cm,70 kg,Left,8/2/1988,28,CM,Medium / Medium,4,3,71,67,52,54,63,71,61,63,62,68,60,67,76,70,66,67,74,63,78,73,66,45,73,68,77,79,76,72,56,14,6,13,13,14
11,Johan Mojica,Colombia,,,Girona,Sub,3.0,7/28/2014,2018.0,70,185 cm,73 kg,Left,8/21/1992,24,LM/LB,High / Medium,2,3,72,70,58,70,66,74,53,61,59,61,68,73,69,59,93,90,73,70,60,87,74,55,80,54,59,72,68,67,43,9,13,14,8,15
12,Aday Benítez,Spain,,,Girona,LWB,11.0,7/16/2014,2019.0,70,179 cm,75 kg,Right,12/16/1987,29,LWB/RWB,High / Medium,4,3,77,75,56,63,60,62,71,64,61,53,60,66,71,62,74,77,83,56,69,82,51,53,47,55,39,65,51,55,43,8,9,11,15,16
13,Sandaza,Spain,,,Girona,LS,21.0,7/8/2016,2018.0,70,188 cm,80 kg,Right,11/30/1984,32,ST,Medium / High,3,3,70,72,36,35,46,62,67,71,38,65,61,58,66,54,46,51,62,85,41,48,54,74,70,73,63,55,58,69,71,16,11,11,16,11
14,Cristian Herrera,Spain,,,Girona,Sub,16.0,2/2/2016,2018.0,69,189 cm,85 kg,Left,3/1/1991,26,ST,High / Medium,2,3,73,70,34,26,33,60,63,67,34,58,45,58,66,54,64,69,67,79,41,59,63,65,74,67,63,61,58,73,69,13,15,12,11,10
15,René,Spain,,,Girona,GK,1.0,7/1/2016,2018.0,69,183 cm,79 kg,Right,12/15/1983,33,GK,Medium / Medium,2,1,19,14,14,19,13,29,67,15,16,19,33,12,25,40,51,56,24,64,60,62,82,17,23,18,17,16,22,21,19,65,79,66,68,61
16,Richy,Spain,,,Girona,Sub,7.0,8/1/2011,2017.0,69,184 cm,80 kg,Right,9/11/1984,32,CB,Medium / Medium,3,2,63,31,68,69,66,67,61,32,72,50,56,43,61,54,52,53,56,72,53,64,80,72,68,39,67,37,67,45,21,15,14,13,10,15
17,Rubén Alcaraz,Spain,,,Girona,Sub,14.0,7/1/2015,2017.0,68,180 cm,80 kg,Right,5/1/1991,25,CM/CB,Medium / Medium,3,2,61,55,54,63,72,70,64,65,69,68,67,57,70,72,60,59,68,71,58,60,60,52,81,54,71,72,73,70,52,12,10,9,14,13
18,Pablo Maffeo,Spain,,,Girona,Sub,25.0,7/1/2014,2019.0,68,173 cm,66 kg,Right,7/12/1997,19,RB/RWB,Medium / Medium,3,2,64,52,69,70,67,47,61,44,59,48,31,67,65,48,75,73,70,56,85,63,58,67,24,28,23,45,29,34,21,12,10,14,7,15
19,Pablo Marí,Spain,,,Girona,Sub,2.0,8/15/2016,2017.0,68,191 cm,87 kg,Left,8/31/1993,23,CB,Medium / Medium,3,2,55,41,67,64,71,59,58,34,63,37,55,32,64,48,57,57,60,85,51,51,59,70,53,38,40,27,30,31,28,13,6,7,14,12
