,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
0,Ezequiel Garay,Argentina,,,Valencia,RCB,24.0,8/31/2016,2020.0,83,188 cm,77 kg,Right,10/10/1986,30,CB,Medium / Medium,3,2,73,62,84,82,85,74,77,49,84,63,79,62,69,72,50,54,75,85,38,57,71,85,80,58,68,55,74,69,49,13,14,13,6,14
1,Nani,Portugal,Sub,17.0,Valencia,LW,17.0,7/5/2016,2019.0,83,175 cm,66 kg,Right,11/17/1986,30,LW/CAM/LM,High / Medium,4,5,86,87,15,20,22,62,80,77,31,80,79,82,81,79,86,79,75,62,77,92,46,46,85,75,83,86,79,72,75,6,5,13,10,6
2,Diego Alves,Brazil,Sub,12.0,Valencia,GK,1.0,7/1/2011,2019.0,82,187 cm,83 kg,Left,6/24/1985,31,GK,Medium / Medium,2,1,15,14,14,15,13,44,79,13,19,64,70,24,33,33,55,54,43,67,57,69,79,20,24,20,22,24,21,24,25,76,86,76,75,85
3,Fabián Orellana,Chile,Sub,14.0,Valencia,CAM,15.0,1/1/2013,2019.0,81,171 cm,70 kg,Right,1/27/1986,31,RW/CM/LW,High / Medium,4,4,84,87,18,25,37,54,80,75,31,77,75,78,77,68,86,80,62,45,55,90,69,69,64,75,80,84,79,75,61,16,12,15,7,15
4,Parejo,Spain,,,Valencia,LCM,10.0,7/1/2011,2020.0,81,180 cm,75 kg,Right,4/16/1989,27,CM/CDM,Medium / Medium,4,3,83,75,59,51,61,68,69,79,68,84,69,84,90,87,56,55,76,72,68,69,56,63,78,75,80,82,86,83,72,14,5,12,9,8
5,Gayà,Spain,,,Valencia,LB,14.0,9/13/2012,2020.0,79,172 cm,64 kg,Left,5/25/1995,21,LB,High / Medium,3,2,76,77,77,79,76,74,78,72,76,70,70,81,78,75,85,88,77,61,82,81,75,60,58,56,59,80,49,52,59,12,13,9,10,9
6,João Cancelo,Portugal,,,Valencia,Sub,2.0,5/26/2015,2021.0,79,182 cm,72 kg,Right,5/27/1994,22,RB/RW/RWB,High / Medium,3,3,80,81,78,77,78,69,68,80,69,66,59,81,78,73,93,92,79,66,74,80,73,64,80,59,66,81,69,46,55,14,6,15,9,14
7,Simone Zaza,Italy,,,Valencia,ST,12.0,7/7/2015,2020.0,79,186 cm,83 kg,Left,6/25/1991,25,ST,High / Medium,3,3,77,76,28,36,36,78,69,83,34,66,68,52,65,45,77,78,69,80,68,77,85,80,82,80,76,68,56,80,76,7,7,9,13,9
8,Eliaquim Mangala,France,,,Valencia,LCB,5.0,8/11/2014,2019.0,79,187 cm,84 kg,Left,2/13/1991,26,CB,Medium / High,4,2,50,46,78,82,80,89,54,39,78,47,71,58,60,58,71,77,77,88,64,65,86,80,67,27,48,47,48,46,44,10,10,6,13,14
9,Aymen Abdennour,Tunisia,,,Valencia,Sub,23.0,8/29/2015,2020.0,78,187 cm,84 kg,Left,8/6/1989,27,CB/LB,High / High,3,2,56,52,78,81,79,84,67,53,76,53,75,56,68,64,63,69,68,86,67,65,80,75,78,48,60,48,39,51,32,8,12,7,8,15
10,Enzo Pérez,Argentina,Sub,8.0,Valencia,RCM,8.0,1/1/2015,2019.0,78,177 cm,71 kg,Right,2/22/1986,31,CM/CDM,Medium / Medium,4,3,82,67,71,78,80,86,78,69,80,73,83,66,85,73,74,67,88,74,78,76,75,58,79,66,68,62,63,82,58,15,9,7,11,13
11,Mario Suárez,Spain,,,Valencia,Sub,7.0,1/30/2016,2020.0,78,188 cm,80 kg,Right,2/24/1987,30,CM/CB,Medium / High,3,3,80,74,64,70,75,76,81,65,83,75,80,64,82,81,58,63,74,75,57,55,58,68,80,62,69,66,72,59,43,12,9,16,13,11
12,Rodrigo,Spain,,,Valencia,Sub,19.0,12/3/2014,2019.0,77,181 cm,77 kg,Left,3/6/1991,26,ST/LW,High / Low,3,4,81,80,26,29,28,52,78,78,31,66,69,72,75,58,89,88,69,67,68,77,74,64,78,72,75,76,67,82,74,11,7,10,13,5
13,Montoya,Spain,,,Valencia,RB,21.0,7/29/2016,2020.0,77,174 cm,72 kg,Right,4/14/1991,25,RB/LB,High / Medium,4,2,69,69,76,80,77,69,66,58,77,59,53,76,69,75,82,84,87,68,80,78,78,59,83,24,68,77,55,50,66,8,6,16,15,8
14,Aderllan Santos,Brazil,,,Valencia,Sub,4.0,8/27/2015,2020.0,76,193 cm,83 kg,Right,4/9/1989,27,CB,Medium / Medium,2,2,54,52,76,74,80,80,68,27,76,34,71,42,52,39,49,61,62,87,30,49,58,80,80,34,63,51,61,60,46,8,10,13,13,12
15,Santi Mina,Spain,,,Valencia,Sub,22.0,7/4/2015,2021.0,76,177 cm,71 kg,Right,12/7/1995,21,RW/LW/RM,Medium / Medium,3,3,77,78,48,49,41,59,80,80,54,57,69,73,69,65,80,80,80,67,75,75,72,59,75,80,69,69,55,59,68,8,9,14,8,15
16,Medrán,Spain,,,Valencia,Sub,20.0,7/11/2016,2020.0,76,176 cm,68 kg,Right,3/15/1994,23,CM/CAM,Medium / Medium,4,2,77,71,65,59,66,49,71,66,65,77,58,68,81,80,59,59,67,58,71,69,59,47,81,58,80,70,76,80,57,12,13,13,14,10
17,Siqueira,Brazil,,,Valencia,Sub,6.0,7/2/2014,2018.0,76,183 cm,76 kg,Left,4/28/1986,30,LB/LM,High / Medium,3,3,75,75,69,80,74,80,75,57,76,58,59,80,68,80,69,75,76,69,58,69,75,68,80,56,59,82,68,82,45,9,7,8,9,13
18,Carlos Soler,Spain,,,Valencia,Sub,18.0,7/1/2015,2018.0,75,183 cm,72 kg,Right,1/2/1997,20,CM/CAM,Medium / Medium,3,3,75,71,68,56,65,49,74,61,69,80,48,69,77,76,74,75,68,59,58,59,56,56,69,70,73,69,77,80,49,13,6,7,14,11
19,Jaume,Spain,,,Valencia,Sub,13.0,9/24/2013,2022.0,75,187 cm,76 kg,Right,11/5/1990,26,GK,Medium / Medium,3,1,32,13,11,31,12,21,69,16,25,43,22,30,32,32,58,58,59,68,59,60,72,16,42,11,22,25,13,25,22,72,74,70,73,79
20,Munir,Spain,,,Valencia,RW,9.0,8/25/2014,2019.0,75,175 cm,69 kg,Left,9/1/1995,21,RW/LW/CF,High / Medium,2,4,80,81,26,22,24,36,68,75,13,59,53,60,73,52,80,84,60,63,78,79,62,69,72,76,73,60,45,66,71,13,9,6,12,16
