,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
0,Bruno,Spain,,,Villarreal,LCM,21.0,7/1/2005,2020.0,84,184 cm,73 kg,Left,6/12/1984,32,CM,Medium / High,3,3,83,75,70,85,84,79,84,69,85,83,86,60,87,86,52,52,76,77,59,53,66,61,84,66,81,72,77,75,48,11,13,9,10,8
1,Sergio Asenjo,Spain,,,Villarreal,Sub,1.0,6/30/2014,2022.0,84,189 cm,87 kg,Right,6/28/1989,27,GK,Medium / Medium,3,1,14,15,12,14,15,20,79,12,22,46,39,24,39,39,59,54,43,73,58,62,73,13,24,14,23,23,22,15,22,82,86,76,83,85
2,Mateo Musacchio,Argentina,Sub,15.0,Villarreal,RCB,5.0,7/1/2010,2018.0,83,182 cm,75 kg,Right,8/26/1990,26,CB,Medium / Medium,3,2,73,43,85,86,84,81,81,50,85,64,70,55,78,70,75,70,72,81,59,73,83,81,57,48,53,53,45,57,36,6,5,12,11,12
3,Manu Trigueros,Spain,,,Villarreal,RCM,14.0,7/1/2011,2022.0,82,178 cm,71 kg,Right,10/17/1991,25,CM,Medium / Medium,4,4,84,81,53,58,73,68,81,77,69,83,73,69,86,82,75,73,81,63,71,79,83,76,81,71,80,78,69,65,63,7,9,12,14,8
4,Víctor Ruíz,Spain,,,Villarreal,LCB,6.0,7/1/2015,2019.0,82,185 cm,78 kg,Left,1/25/1989,28,CB,Medium / Medium,2,2,71,53,83,85,84,82,77,39,83,56,66,54,75,70,57,62,75,85,58,56,78,77,59,37,38,67,46,46,39,6,12,6,8,14
5,Samu Castillejo,Spain,,,Villarreal,RM,19.0,7/1/2015,2020.0,81,182 cm,67 kg,Left,1/18/1995,22,RM/LM,Medium / High,2,4,81,83,22,25,43,48,79,81,52,80,65,82,79,75,87,87,61,45,79,84,64,43,69,69,59,75,72,59,58,8,13,15,16,14
6,Cédric Bakambu,DR Congo,,,Villarreal,LS,17.0,8/20/2015,2020.0,81,182 cm,73 kg,Right,4/11/1991,25,ST/LM,Medium / Medium,4,3,82,80,30,21,29,62,81,82,39,73,73,74,75,66,87,88,74,80,69,81,78,71,84,81,68,68,54,72,78,14,6,6,13,6
7,Mario Gaspar,Spain,,,Villarreal,RB,2.0,7/1/2008,2022.0,81,182 cm,74 kg,Right,11/24/1990,26,RB,High / Medium,3,2,75,73,83,82,80,77,77,64,80,57,61,79,75,69,81,84,88,79,60,69,73,64,81,68,69,75,54,50,77,9,9,8,12,15
8,Roberto Soriano,Italy,,,Villarreal,LM,20.0,8/2/2016,2021.0,80,182 cm,76 kg,Right,2/8/1991,26,LM/CM,Medium / Medium,4,3,83,82,48,67,71,69,75,75,69,83,75,76,84,78,79,78,80,69,72,83,65,65,81,73,77,79,56,62,75,14,15,9,10,13
9,Jonathan dos Santos,Mexico,CAM,8.0,Villarreal,Sub,8.0,7/10/2014,2019.0,80,172 cm,68 kg,Right,4/4/1990,26,RM/CAM,Medium / Medium,4,3,85,80,52,55,63,59,78,80,65,83,65,83,84,78,72,71,77,65,81,75,69,57,72,62,74,80,76,59,73,10,15,7,15,12
10,Denis Cheryshev,Russia,,,Villarreal,Sub,7.0,7/1/2016,2021.0,79,179 cm,74 kg,Left,12/26/1990,26,LM/LW,High / Low,3,3,81,80,52,54,57,65,75,78,61,79,69,80,76,68,81,84,79,67,74,76,75,54,80,74,71,74,61,64,68,7,16,14,7,8
11,Nicola Sansone,Italy,Sub,9.0,Villarreal,Sub,18.0,8/7/2016,2021.0,79,175 cm,68 kg,Right,9/10/1991,25,ST/LW,Medium / Medium,3,3,80,84,15,33,44,68,74,78,38,79,76,68,75,65,86,84,74,65,87,87,66,65,83,80,82,76,69,66,71,9,11,14,7,14
12,Jaume Costa,Spain,,,Villarreal,LB,11.0,7/1/2010,2021.0,79,171 cm,62 kg,Left,3/18/1988,29,LB/LM,High / High,3,3,78,69,76,78,77,81,72,62,78,57,56,79,78,65,84,85,82,62,80,81,83,66,75,53,62,67,59,56,38,10,10,16,11,14
13,Soldado,Spain,,,Villarreal,RS,9.0,8/17/2015,2018.0,78,180 cm,74 kg,Right,5/27/1985,31,ST,Medium / Low,3,3,79,71,33,38,41,73,79,83,41,78,79,74,78,58,60,62,58,70,64,65,76,78,79,78,74,74,65,79,81,9,13,14,13,6
14,Álvaro,Spain,,,Villarreal,Sub,12.0,8/31/2016,2020.0,77,180 cm,68 kg,Right,1/8/1990,27,CB,Medium / High,3,2,64,48,76,82,75,89,71,45,77,39,60,51,66,57,71,72,75,71,66,68,91,75,48,22,26,47,45,36,31,12,8,12,13,8
15,Antonio Rukavina,Serbia,,,Villarreal,Sub,22.0,7/9/2014,2017.0,77,177 cm,74 kg,Right,1/26/1984,33,RB/RM,High / Medium,3,3,69,65,76,77,76,78,81,66,80,59,61,79,73,70,73,77,79,69,75,67,78,62,63,36,58,68,38,42,49,8,6,15,6,7
16,Daniele Bonera,Italy,,,Villarreal,Sub,23.0,8/31/2015,2017.0,77,183 cm,74 kg,Right,5/31/1981,35,CB,Low / High,3,2,51,41,81,78,81,83,69,27,81,41,79,58,56,61,36,33,44,79,53,38,76,74,60,23,53,38,29,49,19,3,3,3,3,3
17,Adrián,Spain,,,Villarreal,Sub,15.0,7/12/2014,2019.0,76,183 cm,73 kg,Right,1/8/1988,29,ST,Medium / Medium,3,3,84,82,21,16,19,58,75,78,32,71,59,60,73,55,77,75,66,68,64,77,74,68,74,74,69,76,57,67,74,6,13,12,14,15
18,Andrés Fernández,Spain,,,Villarreal,GK,13.0,7/30/2014,2018.0,76,184 cm,86 kg,Right,12/16/1986,30,GK,Medium / Medium,3,1,18,14,11,15,14,40,75,14,26,41,53,17,35,40,58,55,43,74,65,57,82,12,22,13,22,24,12,21,23,72,80,68,71,79
19,Rafael Santos Borré,Colombia,,,Villarreal,Sub,24.0,8/28/2015,2021.0,75,174 cm,70 kg,Right,9/15/1995,21,ST/CAM,Medium / Low,3,3,74,77,29,22,33,58,69,77,35,65,72,63,68,61,83,81,64,58,82,82,76,74,72,77,76,82,67,66,72,11,11,14,14,8
20,Mariano Barbosa,Argentina,,,Villarreal,Sub,25.0,7/9/2015,2017.0,75,188 cm,75 kg,Right,7/27/1984,32,GK,Medium / Medium,2,1,17,15,13,11,15,37,75,12,22,17,65,12,38,36,42,43,31,62,47,48,63,13,25,11,12,11,12,24,12,71,75,77,70,78
21,José Ángel,Spain,,,Villarreal,Sub,3.0,7/29/2014,2018.0,74,182 cm,77 kg,Left,9/5/1989,27,LB,High / Medium,3,3,71,68,69,76,73,69,73,60,74,56,59,77,68,61,73,77,74,65,59,73,67,59,69,42,57,72,67,45,42,16,12,10,13,13
22,Leonardo Suárez,Argentina,,,Villarreal,Sub,49.0,12/10/2014,2018.0,71,167 cm,63 kg,Left,3/30/1996,21,CAM,Medium / Low,3,3,73,81,19,11,22,36,58,55,15,75,48,61,69,58,78,70,53,40,91,88,74,54,56,68,70,76,60,62,59,15,11,6,14,7
23,Rodrigo,Spain,,,Villarreal,Res,16.0,7/1/2015,2019.0,69,190 cm,85 kg,Right,6/22/1996,20,CDM/CM,Medium / Medium,3,3,70,44,60,64,73,61,58,53,70,64,69,35,71,77,55,57,58,65,64,59,61,44,61,48,45,56,54,46,38,14,10,7,10,8
24,Aitor,Spain,,,Villarreal,Res,27.0,1/13/2016,2018.0,68,177 cm,67 kg,Left,2/10/1996,21,RW/CAM,Medium / Medium,3,3,68,72,23,22,24,38,59,63,23,71,48,63,67,46,76,71,53,49,75,81,48,39,42,69,61,70,61,65,58,10,11,14,14,8
25,Agustín Doffo,Argentina,,,Villarreal,Res,31.0,7/1/2015,2017.0,66,179 cm,68 kg,Left,5/25/1995,21,CAM,High / Medium,2,2,66,70,22,31,30,33,51,58,21,71,37,64,69,61,73,72,51,46,66,61,47,42,57,56,62,65,59,51,42,15,13,16,13,14
26,Anton Shvets,Georgia,,,Villarreal,Res,34.0,7/1/2014,2017.0,66,187 cm,76 kg,Right,4/26/1993,23,CDM/CM,Low / Medium,3,2,65,63,59,47,74,75,56,48,68,55,70,39,67,61,50,41,65,72,65,50,55,62,62,43,53,51,44,58,41,8,13,8,14,15
27,Franco Acosta,Uruguay,,,Villarreal,Res,32.0,1/23/2015,2020.0,65,177 cm,72 kg,Right,3/5/1996,21,ST,Medium / Medium,3,3,71,63,22,15,43,31,68,75,44,58,59,53,64,38,75,69,46,43,71,65,68,58,50,66,54,61,46,66,56,15,13,11,7,7
28,Mario González,Spain,,,Villarreal,Res,39.0,7/14/2016,2017.0,64,182 cm,68 kg,Right,2/25/1996,21,LW/ST,Medium / Medium,3,4,64,66,11,18,15,39,59,60,16,57,48,62,61,41,72,75,58,53,68,68,62,49,52,62,56,42,38,39,48,6,5,15,15,13
29,Cantero,Spain,,,Villarreal,Res,30.0,7/3/2015,2017.0,63,189 cm,82 kg,Left,1/9/1995,22,GK,Medium / Medium,2,1,12,22,12,19,12,24,55,16,22,26,21,19,35,31,57,53,42,70,58,64,63,18,24,22,24,25,12,25,23,68,53,59,69,64
30,Pablo Larrea,Spain,,,Villarreal,Res,26.0,7/1/2015,2017.0,62,175 cm,65 kg,Right,2/4/1994,23,CM,Medium / Medium,3,3,68,58,38,44,48,42,53,49,54,61,39,46,68,64,65,59,65,53,75,70,64,36,54,46,57,57,52,44,34,8,7,13,10,12
31,Miguelón,Spain,,,Villarreal,Res,33.0,7/1/2015,2017.0,62,175 cm,70 kg,Right,1/18/1996,21,RB,Medium / Medium,3,2,55,52,58,60,65,50,59,52,62,42,45,64,55,46,72,68,63,54,62,64,61,54,26,25,29,31,27,35,28,12,10,11,9,12
32,Oleksiy Gutsulyak,Ukraine,,,Villarreal,Res,36.0,7/1/2015,2017.0,61,184 cm,73 kg,Left,12/25/1997,19,LW/ST,Medium / Medium,3,3,67,66,20,23,25,31,53,57,24,51,62,62,56,48,67,71,44,56,58,63,57,44,44,62,48,60,48,54,59,13,12,9,9,10
