date - time,team1,team2,result (team1 - team2),team1 player1,team1 player2,team1 player3,team1 player4,team1 player5,team1 player6,team1 player7,team1 player8,team1 player9,team1 player10,team1 player11,team1 missing player1,team1 missing player2,team1 missing player3,team2 player1,team2 player2,team2 player3,team2 player4,team2 player5,team2 player6,team2 player7,team2 player8,team2 player9,team2 player10,team2 player11,team2 missing player1,team2 missing player2,team2 missing player3,attendance,place,round
19.05.2018 14:00,Celta Vigo,Levante,4-2Finished,Alvarez S. (G),Aspas I.,Gomez M.,Gomez S.,Jonny,Jozabed,Lobotka S.,Radoja N.,Mallo H. (C),Roncaglia F.,Sadiku A.,Blanco R.,Hernandez P.,Mor E.,Sadiku A.,Campana J.,Chema,Jason,Koke Vegas (G),Lopez P. (C),Lukic S.,Luna A.,Morales J. L.,Rochina R.,Sadiku A.,Alegria A.,Boateng E.,Doukoure C.,10 480,Estadio de Bala?dos (Vigo),LaLiga - Round 38
19.05.2018 17:15,Leganes,Betis,3-2Finished,Brasanac D.,Guerrero,Gumbau G.,Munoz E.,Naranjo J.,Omar,Perez R.,Serantes J. (G) (C),Rico D.,Siovas D.,Ruiz F.,Bustinza U.,Szymanowski A.,,Ruiz F.,Bartra M.,Camarasa V.,Campbell J.,Castro R. (C),Durmisi R.,Guerrero F.,Lopez P. (G),Mandi A.,Moron L.,Ruiz F.,Adan A.,Feddal Z.,Firpo J.,10 813,Estadio Municipal de Butarque (Leganes),LaLiga - Round 38
19.05.2018 19:30,Sevilla,Alaves,1-0Finished,Ben Yedder W.,Layun M.,Lenglet C.,Mesa R.,Nolito,N'Zonzi S.,Pareja N. (C),Sarabia P.,Ramirez S.,Soria D. (G),Wakaso M.,Carole L.,Escudero S.,Fernandez C.,Wakaso M.,Burgui,Demirovic E.,Dieguez A.,Ely R.,Krkic B.,Maripan G.,Pacheco F. (G) (C),Sobrino R.,Torres D.,Wakaso M.,Alexis,Duarte R.,Hernandez H.,22 513,Estadio Ram?n S?nchez Pizju?n (Sevilla),LaLiga - Round 38
19.05.2018 19:30,Malaga,Getafe,0-1Finished,Adrian,En Nesyri Y.,Gonzalez D.,Hernandez L.,Iturra M. (C),Lacen M.,Lestienne M.,Robles Garcia A.,Prieto A. (G),Rolan D.,Shibasaki G.,Baston B.,Castro Iriz?bal G.,Juankar,Shibasaki G.,Djene,Fajr F.,Gonzalez B.,Guaita (G),Molina J. (C),Molinero F.,Ndiaye A.,Portillo F.,Rodriguez A.,Shibasaki G.,Arambarri M.,Bergara M.,Cabrera L.,9 570,Estadio La Rosaleda (M?laga),LaLiga - Round 38
19.05.2018 19:30,Las Palmas,Girona,1-2Finished,Aguirregaray M.,Calleri J.,Castellano D.,Chichizola L. (G),Etebo P.,Galvez A.,Gomez V. (C),Momo F. C.,Halilovic A.,Navarro X.,Stuani C.,Bigas P.,Emenike E.,Penalba G.,Stuani C.,Bernardo,Bono (G),Granell A. (C),Juanpe,Lozano C.,Maffeo P.,Pons P.,Portu,Ramalho J.,Stuani C.,Suarez J.,,,6 362,Estadio de Gran Canaria (Las Palmas),LaLiga - Round 38
19.05.2018 21:45,Villarreal,Real Madrid,2-2Finished,Bonera D.,Fernandez A. (G),Fornals P.,Fuego J.,Gonzalez A.,Marin A.,Mario Gaspar (C),Sansone N.,Rodri,Soriano R.,Zidane L. (G),Bruno,Guerra R.,Miguelon,Zidane L. (G),Carvajal D.,Casemiro,Isco,Kroos T.,Marcelo,Modric L.,Ramos S. (C),Ronaldo C.,Varane R.,Zidane L. (G),Navas K.,,,18 891,Estadio de la Ceramica (Villarreal),LaLiga - Round 38
20.05.2018 13:00,Valencia,Dep. La Coruna,2-1Finished,Domenech J. (G),Garay E.,Gaya J.,Guedes G.,Maksimovic N.,Murillo J.,Parejo D. (C),Soler C.,Rodrigo,Vidal N.,Valentin G.,Coquelin F.,Jimenez J.,Lato T.,Valentin G.,Borja,Colak E.,Juanfran,Koval M. (G),Krohn-Dehli M.,Luisinho,Mosquera P.,Navarro F. (C),Sadick M.,Valentin G.,Albentosa R.,Andone F.,Boveda E.,35 376,Estadio de Mestalla (Valencia),LaLiga - Round 38
20.05.2018 17:15,Ath Bilbao,Espanyol,0-1Finished,Aduriz A.,Alvarez Y.,Arrizabalaga K. (G),Benat,de Marcos O.,Etxeita X.,Lekue I.,Nunez U.,Muniain I. (C),Vesga M.,Vila D.,Balenziaga M.,Garcia R.,Martinez I.,Vila D.,Leo Baptistao,Lopez D. (G),Lopez D.,Lopez J. (C),Moreno G.,Naldo,Piatti P.,Roca M.,Sanchez V.,Vila D.,Duarte O.,Lopez A.,Morilla J.,28 492,Estadio San Mam?s (Bilbao),LaLiga - Round 38
20.05.2018 19:30,Atl. Madrid,Eibar,2-2Finished,Correa A.,Filipe Luis,Gabi,Hernandez L.,Juanfran,Koke,Niguez S.,Savic S.,Oblak J. (G),Torres F. (C),Pena R.,,,,Pena R.,Cote,Dmitrovic M. (G),Escalante G.,Garcia D. (C),Garcia K.,Jordan J.,Lomban D.,Oliveira P.,Orellana F.,Pena R.,Diop P.,Inui T.,Junca D.,63 229,Metropolitano Stadium (Madrid),LaLiga - Round 38
20.05.2018 21:45,Barcelona,Real Sociedad,1-0Finished,Alba J.,Busquets S.,Coutinho,Dembele O.,Iniesta A. (C),Mina Y.,Pique G.,Semedo N.,Rakitic I.,Suarez L.,Zurutuza D.,Jose A.,Roberto S.,Vermaelen T.,Zurutuza D.,Elustondo A.,Illarramendi A. (C),Januzaj A.,Juanmi,Llorente D.,Moya M. A. (G),Navas R.,Oyarzabal M.,Willian Jose,Zurutuza D.,Agirretxe I.,Guridi J.,Moreno H.,82 444,Camp Nou (Barcelona),LaLiga - Round 38
