date - time,team1,team2,result (team1 - team2),team1 player1,team1 player2,team1 player3,team1 player4,team1 player5,team1 player6,team1 player7,team1 player8,team1 player9,team1 player10,team1 player11,team1 missing player1,team1 missing player2,team1 missing player3,team2 player1,team2 player2,team2 player3,team2 player4,team2 player5,team2 player6,team2 player7,team2 player8,team2 player9,team2 player10,team2 player11,team2 missing player1,team2 missing player2,team2 missing player3,attendance,place,round
25.08.2017 21:15,Real Sociedad,Villarreal,3-0Finished,Elustondo A.,Illarramendi A.,Juanmi,Navas R.,Odriozola A.,Oyarzabal M.,Prieto X. (C),Rulli G. (G),Rodrigues K.,Willian Jose,Trigueros M.,Guridi J.,Januzaj A.,Martinez C.,Trigueros M.,Bakambu C.,Castillejo S.,Costa J. (C),Fernandez A. (G),Fornals P.,Gonzalez A.,N'Diaye A.,Rodri,Semedo R.,Trigueros M.,Asenjo S.,Cheryshev D.,Marin A.,19 792,Reale Arena (San Sebastian),LaLiga - Round 2
27.08.2017 19:15,Espanyol,Leganes,0-1Finished,Fuego J.,Hernan Perez,Jurado J. M.,Leo Baptistao,Lopez D.,Lopez J.,Lopez P. (G),Moreno G.,Martin A.,Naldo,Zaldua J.,Duarte O.,Sanchez V.,Vazquez A.,Zaldua J.,Gabriel,Guerrero,Mantovani M. (C),Munoz E.,Omar,Perez R.,Pichu Cuellar (G),Rico D.,Szymanowski A.,Zaldua J.,Serantes J.,Siovas D.,null,17 895,RCDE Stadium (Cornella de Llobregat),LaLiga - Round 2
10.09.2017 13:00,Dep. La Coruna,Real Sociedad,2-4Finished,Adrian,Andone F.,Cartabia F.,Gama B.,Guilherme,Juanfran,Luisinho,Schar F.,Mosquera P. (C),Sidnei,Zurutuza D.,Gil C.,Ruben,null,Zurutuza D.,Illarramendi A.,Januzaj A.,Juanmi,Martinez I.,Odriozola A.,Prieto X. (C),Rodrigues K.,Rulli G. (G),Willian Jose,Zurutuza D.,Martinez C.,Navas R.,Oyarzabal M.,21 942,Estadio Municipal de Riazor (La Coru?a),LaLiga - Round 3
11.09.2017 22:00,Malaga,Las Palmas,1-3Finished,Adrian,Baston B.,Gonzalez D.,Hernandez L.,Jimenez R. (G),Keko,Kuzmanovic Z.,Recio (C),Mula A.,Ricca F.,Viera J.,Cecchini E.,Jony,Juankar,Viera J.,Aythami (C),Calleri J.,Castellano D.,Castellano J.,Chichizola L. (G),Halilovic A.,Michel Macedo,Navarro X.,Tannane O.,Viera J.,Samper S.,Simon D.,Tana,22 697,Estadio La Rosaleda (M?laga),LaLiga - Round 3
10.09.2017 17:15,Ath Bilbao,Girona,2-0Finished,Aduriz A.,Balenziaga M.,Benat,Garcia R.,Herrerin I. (G),Laporte A.,Lekue I.,Nunez U.,Muniain I. (C),San Jose M.,Stuani C.,Alvarez Y.,de Marcos O.,null,Stuani C.,Alcala P.,Bernardo,Garcia B.,Granell A. (C),Iraizoz G. (G),Maffeo P.,Muniesa M.,Pons P.,Portu,Stuani C.,Suarez J.,Timor D.,null,39 952,Estadio San Mam?s (Bilbao),LaLiga - Round 3
09.09.2017 21:45,Barcelona,Espanyol,5-0Finished,Alba J.,Busquets S.,Deulofeu G.,Iniesta A. (C),Messi L.,Pique G.,Rakitic I.,Suarez L.,Semedo N.,ter Stegen M. (G),Sanchez V. (C),Rafinha,Roberto S.,Turan A.,Sanchez V. (C),Diop P.,Fuego J.,Hermoso M.,Leo Baptistao,Lopez D.,Lopez P. (G),Martin A.,Moreno G.,Piatti P.,Sanchez V. (C),Duarte O.,Lopez A.,Lopez J.,72 857,Camp Nou (Barcelona),LaLiga - Round 3
10.09.2017 19:30,Celta Vigo,Alaves,1-0Finished,Alvarez S. (G),Aspas I.,Cabral G.,Fontas A.,Gomez M.,Jonny,Jozabed,Mallo H. (C),Lobotka S.,Sisto P.,Vigaray C.,Guidetti J.,Radoja N.,Roncaglia F.,Vigaray C.,Burgui,Ely R.,Enzo,Krkic B.,Pacheco F. (G) (C),Pedraza A.,Pina T.,Romero O.,Torres D.,Vigaray C.,Galilea E.,Hernandez H.,Laguardia V.,6 133,Estadio de Bala?dos (Vigo),LaLiga - Round 3
09.09.2017 14:00,Real Madrid,Levante,1-1Finished,Asensio M.,Benzema K.,Carvajal D.,Casilla K. (G),Fernandez N.,Hernandez T.,Kroos T.,Lucas,Llorente M.,Marcelo,Tono,Ronaldo C.,Varane R.,null,Tono,Campana J.,Chema,Fernandez R. (G),Jason,Lerma J.,Lopez I. (C),Lopez I.,Postigo S.,Rober Pier,Tono,Marti R.,Mesa N.,Morales J. L.,67 789,Estadio Santiago Bernab?u (Madrid),LaLiga - Round 3
10.09.2017 21:45,Villarreal,Betis,3-1Finished,Bacca C.,Bakambu C.,Barbosa M. (G),Castillejo S.,Costa J. (C),Fornals P.,Gonzalez A.,Ruiz V.,Rodri,Rukavina A.,Tello C.,Asenjo S.,Bonera D.,Cheryshev D.,Tello C.,Amat J.,Barragan A.,Camarasa V.,Durmisi R.,Feddal Z.,Garcia J.,Joaquin (C),Leon S.,Narvaez J.,Tello C.,Boudebouz R.,Campbell J.,Firpo J.,18 638,Estadio de la Ceramica (Villarreal),LaLiga - Round 3
09.09.2017 19:30,Sevilla,Eibar,3-0Finished,Ben Yedder W.,Carrico D. (C),Escudero S.,Gabriel Mercado,Ganso,Lenglet C.,Navas J.,N'Zonzi S.,Nolito,Rico S. (G),Ramis I.,Banega E.,Soria D.,null,Ramis I.,Capa A.,Cote,Dmitrovic M. (G),Enrich S.,Escalante G.,Garcia D. (C),Garcia K.,Inui T.,Oliveira P.,Ramis I.,Arbilla A.,Jordan J.,Leon P.,32 469,Estadio Ram?n S?nchez Pizju?n (Sevilla),LaLiga - Round 3
