player,team
Douglas,Girona
Olunga,Girona
Vidal,Girona
Williams,Malaga
Varane,Alaves
Ceballos,Real Madrid
Carrasco,Atl. Madrid
Vazquez,Atl. Madrid
Vazquez,Sevilla
Vietto,Leganes
Samue,Levante
Torres,Levante
Soria,Sevilla
Torres,Sevilla
Torres,Malaga
Suarez,Dep. La Coruna
Stuani,Celta Vigo
Hakimi,Real Madrid
Sanchez,Real Madrid
Roca,Espanyol
Pena,Villarreal
Lomban,Eibar
Williams,Valencia
Viera,Barcelona
Tello,Real Sociedad
Wass,Las Palmas
Mor,Celta Vigo
Zaza,Betis
Penaranda,Malaga
Zaldua,Malaga
El,Leganes
Ramalho,Girona
Trigueros,Girona
Arbilla,Eibar
Valverde,Eibar
Uzoho,Dep. La Coruna
Umtiti,Atl. Madrid
Gomes,Barcelona
Zubeldia,Alaves
Ronaldo,Getafe
Vazquez,Ath Bilbao
Navarro,Espanyol
Postigo,Espanyol
Doukoure,Levante
Luna,Levante
Mesa,Levante
Albentosa,Dep. La Coruna
Ramalho,Dep. La Coruna
Bono,Girona
Sanchez,Real Sociedad
Rivera,Real Madrid
Rivera,Eibar
Amrabat,Leganes
Gabriel,Leganes
Williams,Leganes
Savic,Celta Vigo
Gameiro,Atl. Madrid
Vitol,Villarreal
Gomez,Las Palmas
Rosales,Barcelona
Prieto,Malaga
Vazquez,Valencia
Campbell,Betis
Wakaso,Betis
Suarez,Levante
Raul,Las Palmas
Samper,Las Palmas
Remy,Las Palmas
Valverde,Las Palmas
Postigo,Eibar
Tosca,Espanyol
Wass,Malaga
Varane,Girona
Zubeldia,Getafe
de,Real Sociedad
Zaldua,Sevilla
Umtiti,Ath Bilbao
Trigueros,Atl. Madrid
Soriano,Villarreal
Dieguez,Alaves
Zaza,Alaves
Vitol,Real Madrid
Bonera,Villarreal
Chuc,Villarreal
Rosales,Villarreal
Rivera,Real Sociedad
Williams,Celta Vigo
Stuani,Levante
Soria,Barcelona
Sanchez,Alaves
Savic,Dep. La Coruna
Fernandez,Atl. Madrid
Zaldua,Valencia
Moran,Leganes
Rodriguez,Betis
Alejo,Eibar
Ruiz,Eibar
Trigueros,Ath Bilbao
Unal,Las Palmas
Moore,Levante
Oier,Levante
Garcia,Espanyol
Rodrig,Espanyol
Valverde,Malaga
Valentin,Dep. La Coruna
Varane,Atl. Madrid
Geis,Sevilla
Wass,Sevilla
Umtiti,Leganes
Vigaray,Getafe
Zurutuza,Girona
Suarez,Espanyol
Vermaelen,Valencia
Vermaelen,Barcelona
Vazquez,Villarreal
Vitol,Real Sociedad
Williams,Dep. La Coruna
Rico,Ath Bilbao
Savic,Levante
Boudebouz,Betis
Navarro,Betis
Timor,Betis
Timor,Girona
Vallejo,Real Madrid
Rosales,Real Madrid
Oliveira,Alaves
Zaldua,Celta Vigo
Gumbau,Leganes
Wakaso,Girona
Alexis,Alaves
Tello,Las Palmas
Sanchez,Eibar
Gonzalez,Getafe
Zaza,Getafe
Trigueros,Leganes
Marin,Villarreal
Raba,Villarreal
Etxeita,Ath Bilbao
Varane,Ath Bilbao
Banega,Sevilla
Valverde,Sevilla
Zurutuza,Atl. Madrid
Wass,Barcelona
Unal,Malaga
Timor,Espanyol
Asenjo,Villarreal
Vermaelen,Villarreal
El,Levante
Vesga,Levante
Vrsaljko,Betis
Rosales,Real Sociedad
Wass,Valencia
Gil,Dep. La Coruna
Tit,Dep. La Coruna
Tit,Leganes
Vazquez,Real Madrid
Oliveira,Getafe
Aguirregabiria,Alaves
Viera,Alaves
Varane,Leganes
Kovacic,Real Madrid
Tello,Malaga
Sidne,Barcelona
Sanchez,Las Palmas
Duarte,Espanyol
Granero,Espanyol
Trigueros,Celta Vigo
Suarez,Girona
Mora,Getafe
Pina,Atl. Madrid
Vezo,Eibar
Gil,Valencia
Zurutuza,Ath Bilbao
Unal,Sevilla
Lukic,Levante
Wass,Dep. La Coruna
Trigueros,Valencia
Vermaelen,Real Madrid
Vrsaljko,Espanyol
Williams,Betis
Rolan,Alaves
Miquel,Malaga
Ontiveros,Malaga
Timor,Eibar
Soria,Real Sociedad
Viera,Getafe
Cabaco,Levante
Zaldua,Levante
En,Malaga
Iturra,Malaga
Sanchez,Malaga
Varane,Celta Vigo
Pina,Ath Bilbao
Sidne,Villarreal
Postigo,Barcelona
Jason,Levante
Zurutuza,Leganes
Ruiz,Sevilla
Jonathan,Las Palmas
Penalba,Las Palmas
Toledo,Las Palmas
Oliveira,Las Palmas
Timor,Valencia
Costa,Atl. Madrid
Suarez,Atl. Madrid
Martinez,Getafe
Zaldua,Betis
Vermaelen,Real Sociedad
Williams,Espanyol
Guidetti,Alaves
Laguardia,Alaves
Rico,Alaves
Boateng,Levante
Cok,Levante
Wass,Levante
Vezo,Dep. La Coruna
Maksimovic,Valencia
Vrsaljko,Eibar
Trigueros,Real Madrid
Viera,Girona
Galvez,Las Palmas
Samperio,Las Palmas
Rosales,Getafe
Rosales,Eibar
Vermaelen,Betis
Wass,Real Sociedad
Schar,Real Madrid
One,Dep. La Coruna
Zaldua,Alaves
Vezo,Las Palmas
Rodrigo,Valencia
Rober,Villarreal
Ramalho,Atl. Madrid
Melendo,Espanyol
Vazquez,Espanyol
Williams,Getafe
Tello,Celta Vigo
Coutinh,Barcelona
Wakaso,Barcelona
Hernan,Alaves
Shibasaki,Sevilla
Viera,Atl. Madrid
Sanchez,Leganes
Zubeldia,Villarreal
Tono,Real Sociedad
Stuani,Malaga
Coquelin,Valencia
Varane,Valencia
Oier,Dep. La Coruna
Ramis,Ath Bilbao
Diop,Eibar
Orellana,Eibar
Aguirregaray,Las Palmas
Etebo,Las Palmas
Gil,Las Palmas
Samue,Las Palmas
Samue,Malaga
Ideye,Malaga
Zaza,Atl. Madrid
Williams,Girona
Lopez,Ath Bilbao
Martinez,Ath Bilbao
Umtiti,Espanyol
Zaldua,Getafe
Varane,Levante
Wass,Alaves
Mazan,Celta Vigo
Bartra,Betis
Castro,Betis
Moron,Betis
Unal,Betis
Sarabia,Eibar
Layun,Sevilla
Mesa,Sevilla
Ramirez,Sevilla
Schar,Real Sociedad
Boveda,Dep. La Coruna
Krohn-Dehli,Dep. La Coruna
Adrian,Dep. La Coruna
Ruiz,Dep. La Coruna
Firpo,Betis
Rober,Valencia
Pazzini,Levante
Sanchez,Celta Vigo
Mina,Barcelona
Ramalho,Sevilla
Zurutuza,Real Madrid
Ramis,Leganes
Vrsaljko,Malaga
Vitol,Atl. Madrid
Fuego,Villarreal
Martinez,Villarreal
Torres,Villarreal
Alvarez,Ath Bilbao
Viera,Ath Bilbao
Cabrera,Getafe
Wass,Getafe
Ronaldo,Betis
Unal,Espanyol
Williams,Atl. Madrid
Agirretxe,Real Sociedad
Postigo,Real Sociedad
Lestienne,Malaga
Vietto,Malaga
Ruben,Alaves
Umtiti,Eibar
Vazquez,Las Palmas
Zaldua,Girona
Marti,Levante
Ruiz,Levante
Vrsaljko,Sevilla
Zurutuza,Valencia
Torres,Ath Bilbao
Shibasaki,Villarreal
Remy,Getafe
Ramalho,Barcelona
Lozano,Girona
Tan,Leganes
Torres,Real Madrid
Pena,Celta Vigo
Sanchez,Dep. La Coruna
Leon,Eibar
Unal,Eibar
Rico,Atl. Madrid
Zaza,Ath Bilbao
Torres,Valencia
Schar,Getafe
Muntari,Dep. La Coruna
Lacen,Malaga
Sarabia,Malaga
Guilherme,Sevilla
Planas,Girona
Wass,Girona
Varane,Espanyol
Oier,Alaves
Vidal,Las Palmas
Zurutuza,Betis
Moreno,Real Sociedad
Moya,Real Sociedad
Tan,Celta Vigo
Exposito,Las Palmas
Ruiz,Valencia
Jon,Real Sociedad
Torres,Real Sociedad
Vrsaljko,Barcelona
Sanchez,Levante
Suarez,Real Madrid
Koval,Dep. La Coruna
Pena,Dep. La Coruna
Rosales,Leganes
Williams,Sevilla
Stuani,Villarreal
Ruiz,Alaves
Zaldua,Ath Bilbao
Trigueros,Las Palmas
Roncaglia,Atl. Madrid
Zubeldia,Espanyol
Garcia,Malaga
Umtiti,Malaga
Oier,Getafe
Zaza,Sevilla
Varane,Eibar
Sidne,Girona
Stuani,Real Madrid
Torres,Celta Vigo
Success,Malaga
Vrsaljko,Villarreal
Susaeta,Barcelona
Vazquez,Leganes
Sanchez,Betis
Suarez,Real Sociedad
Sobrino,Valencia
Perez,Alaves
Ramis,Levante
Mercado,Sevilla
Umtiti,Sevilla
Varane,Las Palmas
Wass,Ath Bilbao
Boye,Celta Vigo
Rober,Girona
Flamini,Getafe
Ruiz,Getafe
Isaac,Atl. Madrid
Sidne,Atl. Madrid
Zurutuza,Eibar
Soriano,Malaga
Zaza,Leganes
Torres,Espanyol
Williams,Villarreal
Vila,Valencia
Vila,Espanyol
Pardo,Real Sociedad
Stuani,Real Sociedad
Momo,Levante
Ezekiel,Las Palmas
Zaldua,Barcelona
Gimenez,Betis
Ramis,Betis
Soria,Celta Vigo
Suarez,Alaves
Torres,Dep. La Coruna
Vallejo,Malaga
Vila,Getafe
Sadiku,Atl. Madrid
Sadiku,Levante
Sobrino,Eibar
Schar,Ath Bilbao
Zurutuza,Las Palmas
Wass,Leganes
Vezo,Barcelona
Trigueros,Sevilla
Ruiz,Girona
Raul,Betis
Timor,Alaves
Vrsaljko,Real Sociedad
Williams,Real Madrid
Pena,Espanyol
Domenech,Valencia
Suarez,Valencia
Tit,Villarreal
Vermaelen,Celta Vigo
Soria,Dep. La Coruna
Fernandez,Sevilla
Postigo,Ath Bilbao
Tello,Atl. Madrid
Wakaso,Las Palmas
Zurutuza,Malaga
Sanchez,Girona
Vezo,Celta Vigo
Suarez,Eibar
Olivera,Getafe
Schar,Leganes
Vallejo,Sevilla
Cillessen,Barcelona
Trigueros,Barcelona
Lopez,Betis
Success,Betis
Borj,Dep. La Coruna
Umtiti,Dep. La Coruna
Yoel,Valencia
Yoel,Eibar
Sivera,Alaves
Werner,Alaves
Werner,Atl. Madrid
Timor,Getafe
Wass,Villarreal
Zaldua,Real Madrid
Williams,Real Sociedad
Vazquez,Levante
Champagne,Leganes
Postigo,Leganes
Varane,Barcelona
Shibasaki,Las Palmas
Barr,Getafe
David,Getafe
Redondo,Getafe
Vila,Atl. Madrid
Demirovic,Alaves
Lopez,Alaves
Vezo,Villarreal
Schar,Celta Vigo
Tello,Ath Bilbao
Riesgo,Girona
Riesgo,Eibar
Zurutuza,Sevilla
Vermaelen,Levante
Success,Espanyol
Wass,Real Madrid
Trigueros,Dep. La Coruna
Williams,Alaves
Soria,Betis
Savic,Getafe
Zaza,Girona
Samperio,Eibar
Rico,Real Sociedad
Zurutuza,Barcelona
Gab,Atl. Madrid
Pena,Atl. Madrid
Vila,Ath Bilbao
Valentin,Valencia
Sadick,Dep. La Coruna
Zidane,Villarreal
Zidane,Real Madrid
Robles,Malaga
Shibasaki,Malaga
Stuani,Las Palmas
Wakaso,Sevilla
Serantes,Leganes
Ruiz,Leganes
Sadiku,Celta Vigo
Koke,Levante
Rochina,Levante
