web-scraper-order,web-scraper-start-url,date - time,team1,team2,result (team1 - team2),lineups,lineups-href,team1 player1,attendance,place,round,team1 player2,team1 player3,team1 player4,team1 player5,team1 player6,team1 player7,team1 player8,team1 player9,team1 player10,team1 player11,team1 missing player1,team1 missing player2,team1 missing player3,team2 player1,team2 player2,team2 player3,team2 player4,team2 player5,team2 player6,team2 player7,team2 player8,team2 player9,team2 player10,team2 player11,team2 missing player1,team2 missing player2,team2 missing player3
"1676816449-1501","https://www.flashscore.com/match/rNEvmtGI/#/match-summary","20.10.2013 22:00","Valladolid","Sevilla","2-2Finished","Lineups","https://www.flashscore.com/match/rNEvmtGI/#/match-summary/lineups","Baraja J.","null","Estadio José Zorrilla (Valladolid)","LaLiga - Round 9","Bergdich Z.","Ebert P.","Guerra J.","Marino D. (G)","Omar","Pena C.","Rossi F.","Rueda J.","Rukavina A.","Valiente M.","null","null","null","Bacca C.","Beto (G)","Cala J.","Carrico D.","Figueiras D.","Iborra V.","Moreno A.","Navarro F.","Pareja N.","Samperio J.","Vitolo","null","null","null"
"1676816458-1502","https://www.flashscore.com/match/hYLRkrWa/#/match-summary","21.10.2013 21:00","Celta Vigo","Levante","0-1Finished","Lineups","https://www.flashscore.com/match/hYLRkrWa/#/match-summary/lineups","Charles","null","Estadio de Balaídos (Vigo)","LaLiga - Round 9","Costas D.","Fontas A.","Krohn-Dehli M.","Mallo H.","Mina S.","Nolito","Oubina B.","Rafinha","Toni","Yoel (G)","null","null","null","Baba","Diop P.","Garcia R.","Ivanschitz A.","Juanfran","Lopez P.","Navarro D.","Navas K. (G)","Rodas H.","Simao","Xumetra J.","null","null","null"
"1676816466-1503","https://www.flashscore.com/match/x0KfcQwQ/#/match-summary","21.10.2013 23:00","Ath Bilbao","Villarreal","2-0Finished","Lineups","https://www.flashscore.com/match/x0KfcQwQ/#/match-summary/lineups","Aduriz A.","null","Estadio San Mamés (Bilbao)","LaLiga - Round 9","Balenziaga M.","de Marcos O.","Gurpegi C.","Iraizoz G. (G)","Iraola A.","Iturraspe A.","Laporte A.","Muniain I.","Rico M.","Susaeta M.","null","null","null","Aquino J.","Asenjo S. (G)","Bruno","Cani","Costa J.","Dorado J. A.","dos Santos G.","Mario Gaspar","Musacchio M.","Pereira J.","Pina T.","null","null","null"
"1676816475-1504","https://www.flashscore.com/match/UidPbwFU/#/match-summary","25.10.2013 22:00","Rayo Vallecano","Valladolid","0-3Finished","Lineups","https://www.flashscore.com/match/UidPbwFU/#/match-summary/lineups","Arbilla A.","null","Campo de Futbol de Vallecas (Madrid)","LaLiga - Round 10","Baena R.","Castillo N.","Falque I.","Galvez A.","Mojica J.","Perea A.","Ruben (G)","Tito","Trashorras R.","Viera J.","null","null","null","Baraja J.","Ebert P.","Guerra J.","Manucho","Marino D. (G)","Pena C.","Rama V.","Rossi F.","Rueda J.","Rukavina A.","Valiente M.","null","null","null"
"1676816483-1505","https://www.flashscore.com/match/ryfD1uVB/#/match-summary","26.10.2013 17:00","Malaga","Celta Vigo","0-5Finished","Lineups","https://www.flashscore.com/match/ryfD1uVB/#/match-summary/lineups","Antunes V.","null","Estadio La Rosaleda (Málaga)","LaLiga - Round 10","Caballero W. (G)","Camacho I.","Chen R.","Duda","El Hamdaoui M.","Gamez J.","Portillo F.","Santa C. R.","Tissone F.","Weligton","null","null","null","Aurtenetxe J.","Cabral G.","Charles","Fernandez A.","Fontas A.","Lopez A.","Mallo H.","Mina S.","Nolito","Oubina B.","Yoel (G)","null","null","null"
"1676816491-1506","https://www.flashscore.com/match/MRhH0apI/#/match-summary","26.10.2013 19:00","Barcelona","Real Madrid","2-1Finished","Lineups","https://www.flashscore.com/match/MRhH0apI/#/match-summary/lineups","Adriano","null","Camp Nou (Barcelona)","LaLiga - Round 10","Busquets S.","Dani Alves","Fabregas C.","Iniesta A.","Mascherano J.","Messi L.","Neymar","Pique G.","Valdes V. (G)","Xavi","null","null","null","Bale G.","Carvajal D.","Di Maria A.","Khedira S.","Lopez D. (G)","Marcelo","Modric L.","Pepe","Ramos S.","Ronaldo C.","Varane R.","null","null","null"
"1676816500-1507","https://www.flashscore.com/match/hn104sog/#/match-summary","26.10.2013 21:00","Elche","Granada CF","0-1Finished","Lineups","https://www.flashscore.com/match/hn104sog/#/match-summary/lineups","Botia A.","null","Estadio Manuel Martínez Valero (Elche)","LaLiga - Round 10","Coro","del Moral M.","Fidel","Gil C.","Herrera M. (G)","Lomban D.","Mantecon S.","Marquez J.","Perez R.","Suarez D.","null","null","null","Brahimi Y.","Fernandez R. (G)","Foulquier D.","Ighalo O.","Iturra M.","Mainz D.","Murillo J.","Nyom A.","Pereira M.","Recio","Rico F.","null","null","null"
"1676816508-1508","https://www.flashscore.com/match/Qaa82LF5/#/match-summary","26.10.2013 23:00","Levante","Espanyol","3-0Finished","Lineups","https://www.flashscore.com/match/Qaa82LF5/#/match-summary/lineups","Baba","null","Estadi Ciutat de València (Valencia)","LaLiga - Round 10","Diop P.","El Zhar N.","Garcia R.","Juanfran","Lopez P.","Navarro D.","Navas K. (G)","Rodas H.","Simao","Xumetra J.","null","null","null","Casilla K. (G)","Fuentes J. R.","Garcia S.","Lopez D.","Lopez J.","Moreno H.","Pizzi","Sanchez V.","Sidnei","Simao","Stuani C.","null","null","null"
"1676816517-1509","https://www.flashscore.com/match/GlhLaJaO/#/match-summary","27.10.2013 13:00","Sevilla","Osasuna","2-1Finished","Lineups","https://www.flashscore.com/match/GlhLaJaO/#/match-summary/lineups","Bacca C.","null","Estadio Ramón Sánchez Pizjuán (Sevilla)","LaLiga - Round 10","Beto (G)","Carrico D.","Figueiras D.","Gameiro K.","Mbia S.","Moreno A.","Pareja N.","Rakitic I.","Samperio J.","Vitolo","null","null","null","Arribas A.","Bertran M.","Damia","de las Cuevas M.","Fernandez A. (G)","Lolo","Loties J.","Punal F.","Riera O.","Silva F.","Torres R.","null","null","null"
"1676816525-1510","https://www.flashscore.com/match/Cxgh63Gt/#/match-summary","27.10.2013 18:00","Villarreal","Valencia","4-1Finished","Lineups","https://www.flashscore.com/match/Cxgh63Gt/#/match-summary/lineups","Asenjo S. (G)","null","Estadio de la Ceramica (Villarreal)","LaLiga - Round 10","Bruno","Cani","Costa J.","Dorado J. A.","dos Santos G.","Hernan Perez","Mario Gaspar","Musacchio M.","Trigueros M.","Uche I.","null","null","null","Banega E.","Bernat J.","Canales S.","Cartabia F.","Costa R.","Fuego J.","Guaita V. (G)","Jonas","Mathieu J.","Pabon D.","Pereira J.","null","null","null"
"1676816534-1511","https://www.flashscore.com/match/fFNVJMpt/#/match-summary","27.10.2013 20:00","Real Sociedad","Almeria","3-0Finished","Lineups","https://www.flashscore.com/match/fFNVJMpt/#/match-summary/lineups","Agirretxe I.","null","Reale Arena (San Sebastian)","LaLiga - Round 10","Bergara M.","Bravo C. (G)","Castro Irizábal G.","Cote","Gonzalez M.","Griezmann A.","Martinez C.","Martinez I.","Pardo R.","Prieto X.","null","null","null","Azeez R.","Dubarbier S.","Esteban (G)","Garcia R.","Rafita","Rodri","Soriano F.","Torsiglieri M.","Trujillo A.","Verza","Vidal A.","null","null","null"
"1676816542-1512","https://www.flashscore.com/match/n904310a/#/match-summary","27.10.2013 22:00","Atl. Madrid","Betis","5-0Finished","Lineups","https://www.flashscore.com/match/n904310a/#/match-summary/lineups","Costa D.","null","Estadio Vicente Calderón (Madrid)","LaLiga - Round 10","Courtois T. (G)","Filipe Luis","Gabi","Godin D.","Juanfran","Koke","Miranda","Tiago","Torres O.","Villa D.","null","null","null","Cedrick","Chuli","Figueras J.","Igiebor N.","Juanfran","Matilla J.","Perquis D.","Reyes L.","Sara G. (G)","Vadillo A.","Vila D.","null","null","null"
"1676816550-1513","https://www.flashscore.com/match/f1rc5NVn/#/match-summary","28.10.2013 23:00","Getafe","Ath Bilbao","0-1Finished","Lineups","https://www.flashscore.com/match/f1rc5NVn/#/match-summary/lineups","Borja","null","Coliseum Alfonso Perez (Getafe)","LaLiga - Round 10","Castro D.","Colunga A.","Lago R.","Leon P.","Lopez L.","Mosquera P.","Moya M. A. (G)","Rafa","Sarabia P.","Valera J.","null","null","null","Aduriz A.","Balenziaga M.","de Marcos O.","Gurpegi C.","Herrera A.","Iraizoz G. (G)","Iraola A.","Iturraspe A.","Laporte A.","Rico M.","Susaeta M.","null","null","null"
"1676816559-1514","https://www.flashscore.com/match/GlEjFbaB/#/match-summary","29.10.2013 21:00","Espanyol","Malaga","0-0Finished","Lineups","https://www.flashscore.com/match/GlEjFbaB/#/match-summary/lineups","Casilla K. (G)","null","RCDE Stadium (Cornella de Llobregat)","LaLiga - Round 11","Cordoba J.","Fuentes J. R.","Garcia S.","Lopez D.","Mattioni F.","Moreno H.","Pizzi","Sanchez V.","Sidnei","Simao","null","null","null","Antunes V.","Caballero W. (G)","Darder S.","Eliseu","Gamez J.","Olinga F.","Portillo F.","Sanchez S.","Santa C. R.","Tissone F.","Weligton","null","null","null"
"1676816567-1515","https://www.flashscore.com/match/ABDfEIEH/#/match-summary","29.10.2013 23:00","Celta Vigo","Barcelona","0-3Finished","Lineups","https://www.flashscore.com/match/ABDfEIEH/#/match-summary/lineups","Aurtenetxe J.","null","Estadio de Balaídos (Vigo)","LaLiga - Round 11","Cabral G.","Charles","Fernandez A.","Fontas A.","Lopez A.","Mallo H.","Nolito","Oubina B.","Rafinha","Yoel (G)","null","null","null","Adriano","Bartra M.","Busquets S.","Dani Alves","Fabregas C.","Messi L.","Pedro","Puyol C.","Sanchez A.","Song A.","Valdes V. (G)","null","null","null"
"1676816576-1516","https://www.flashscore.com/match/r3UWfUDd/#/match-summary","30.10.2013 21:00","Valladolid","Real Sociedad","2-2Finished","Lineups","https://www.flashscore.com/match/r3UWfUDd/#/match-summary/lineups","Baraja J.","null","Estadio José Zorrilla (Valladolid)","LaLiga - Round 11","Ebert P.","Guerra J.","Larsson D.","Marino D. (G)","Pena C.","Rama V.","Rossi F.","Rueda J.","Rukavina A.","Valiente M.","null","null","null","Bergara M.","Bravo C. (G)","Cadamuro L.","de La Bella A.","Gonzalez M.","Griezmann A.","Martinez C.","Prieto X.","Seferovic H.","Vela C.","Zurutuza D.","null","null","null"
"1676816584-1517","https://www.flashscore.com/match/d6IEJDjc/#/match-summary","30.10.2013 21:00","Valencia","Almeria","1-2Finished","Lineups","https://www.flashscore.com/match/d6IEJDjc/#/match-summary/lineups","Cartabia F.","null","Estadio de Mestalla (Valencia)","LaLiga - Round 11","Costa R.","Diego Alves (G)","Feghouli S.","Fuego J.","Guardado A.","Jonas","Mathieu J.","Parejo D.","Pereira J.","Postiga H.","null","null","null","Azeez R.","Barbosa H.","Dubarbier S.","Esteban (G)","Nelson","Pellerano H.","Rodri","Suso","Torsiglieri M.","Trujillo A.","Verza","null","null","null"
"1676816592-1518","https://www.flashscore.com/match/nyyOdjqp/#/match-summary","30.10.2013 23:00","Real Madrid","Sevilla","7-3Finished","Lineups","https://www.flashscore.com/match/nyyOdjqp/#/match-summary/lineups","Arbeloa A.","null","Estadio Santiago Bernabéu (Madrid)","LaLiga - Round 11","Bale G.","Benzema K.","Illarramendi A.","Isco","Khedira S.","Lopez D. (G)","Marcelo","Ramos S.","Ronaldo C.","Varane R.","null","null","null","Bacca C.","Beto (G)","Carrico D.","Figueiras D.","Mbia S.","Moreno A.","Navarro F.","Pareja N.","Rakitic I.","Samperio J.","Vitolo","null","null","null"
"1676816601-1519","https://www.flashscore.com/match/4CVSeAbj/#/match-summary","30.10.2013 23:00","Osasuna","Rayo Vallecano","3-1Finished","Lineups","https://www.flashscore.com/match/4CVSeAbj/#/match-summary/lineups","Arribas A.","null","Estadio El Sadar (Pamplona)","LaLiga - Round 11","Cejudo A.","de las Cuevas M.","Fernandez A. (G)","Loe R.","Loties J.","Oriol J.","Riera O.","Sanjurjo O.","Silva F.","Torres R.","null","null","null","Adrian","Arbilla A.","Bangoura A.","Bueno","Falque I.","Galvez A.","Niguez S.","Ruben (G)","Tito","Trashorras R.","Viera J.","null","null","null"
"1676816609-1520","https://www.flashscore.com/match/Y5MZIt0n/#/match-summary","31.10.2013 21:00","Villarreal","Getafe","0-2Finished","Lineups","https://www.flashscore.com/match/Y5MZIt0n/#/match-summary/lineups","Aquino J.","null","Estadio de la Ceramica (Villarreal)","LaLiga - Round 11","Asenjo S. (G)","Bruno","Cani","Costa J.","dos Santos G.","Iniguez P.","Mario Gaspar","Musacchio M.","Perbet J.","Pina T.","null","null","null","Alexis","Borja","Castro D.","Gavilan J.","Lago R.","Leon P.","Marica C.","Michel","Moya M. A. (G)","Rafa","Valera J.","null","null","null"
"1676816618-1521","https://www.flashscore.com/match/KMKsHKUb/#/match-summary","31.10.2013 21:00","Granada CF","Atl. Madrid","1-2Finished","Lineups","https://www.flashscore.com/match/KMKsHKUb/#/match-summary/lineups","Brahimi Y.","null","Estadio Nuevo Los Cármenes (Granada)","LaLiga - Round 11","Fernandez R. (G)","Foulquier D.","Ighalo O.","Iturra M.","Mainz D.","Murillo J.","Nyom A.","Pereira M.","Recio","Rico F.","null","null","null","Adrian","Costa D.","Courtois T. (G)","Filipe Luis","Gabi","Godin D.","Juanfran","Koke","Miranda","Suarez M.","Villa D.","null","null","null"
"1676816627-1522","https://www.flashscore.com/match/2oAnGvp5/#/match-summary","31.10.2013 23:00","Betis","Levante","0-0Finished","Lineups","https://www.flashscore.com/match/2oAnGvp5/#/match-summary/lineups","Amaya A.","null","Estadio Benito Villamarín (Sevilla)","LaLiga - Round 11","Andersen S. (G)","Chica F.","Chuli","Juanfran","Juankar","Molina J.","Nacho","Perquis D.","Torres X.","Verdu J.","null","null","null","Baba","Diop P.","El Zhar N.","Ivanschitz A.","Juanfran","Lopez P.","Navarro D.","Navas K. (G)","Rodas H.","Simao","Xumetra J.","null","null","null"
"1676816636-1523","https://www.flashscore.com/match/tWLwI0Fh/#/match-summary","31.10.2013 23:00","Ath Bilbao","Elche","2-2Finished","Lineups","https://www.flashscore.com/match/tWLwI0Fh/#/match-summary/lineups","Balenziaga M.","null","Estadio San Mamés (Bilbao)","LaLiga - Round 11","Gurpegi C.","Herrera A.","Herrerin I. (G)","Iraola A.","Iturraspe A.","Laporte A.","Muniain I.","Rico M.","Susaeta M.","Toquero G.","null","null","null","Botia A.","Cisma D.","Coro","Fidel","Gil C.","Herrera M. (G)","Lomban D.","Niguez A.","Perez R.","Sanchez C.","Suarez D.","null","null","null"
"1676816644-1524","https://www.flashscore.com/match/r3j2A9Dq/#/match-summary","01.11.2013 22:00","Barcelona","Espanyol","1-0Finished","Lineups","https://www.flashscore.com/match/r3j2A9Dq/#/match-summary/lineups","Busquets S.","null","Camp Nou (Barcelona)","LaLiga - Round 12","Dani Alves","Iniesta A.","Mascherano J.","Messi L.","Montoya M.","Neymar","Pique G.","Sanchez A.","Valdes V. (G)","Xavi","null","null","null","Abraham","Bifouma T.","Casilla K. (G)","Fuentes J. R.","Garcia S.","Lopez D.","Moreno H.","Rodriguez R.","Sanchez V.","Sidnei","Torje G.","null","null","null"
"1676816652-1525","https://www.flashscore.com/match/UJhE77c2/#/match-summary","02.11.2013 17:00","Real Sociedad","Osasuna","5-0Finished","Lineups","https://www.flashscore.com/match/UJhE77c2/#/match-summary/lineups","Ansotegi I.","null","Reale Arena (San Sebastian)","LaLiga - Round 12","Bravo C. (G)","Castro Irizábal G.","Cote","Elustondo G.","Griezmann A.","Martinez C.","Martinez I.","Pardo R.","Vela C.","Zurutuza D.","null","null","null","Arribas A.","Cejudo A.","Damia","de las Cuevas M.","Fernandez A. (G)","Lolo","Loties J.","Riera O.","Sanjurjo O.","Silva F.","Torres R.","null","null","null"
"1676816661-1526","https://www.flashscore.com/match/Ik0nGa12/#/match-summary","02.11.2013 19:00","Almeria","Valladolid","1-0Finished","Lineups","https://www.flashscore.com/match/Ik0nGa12/#/match-summary/lineups","Azeez R.","null","Estadio de los Juegos Mediterráneos (Almería)","LaLiga - Round 12","Dubarbier S.","Esteban (G)","Nelson","Rodri","Soriano F.","Suso","Torsiglieri M.","Trujillo A.","Verza","Vidal A.","null","null","null","Ebert P.","Guerra J.","Larsson D.","Marino D. (G)","Omar","Pena C.","Rossi F.","Rubio A.","Rueda J.","Rukavina A.","Valiente M.","null","null","null"
"1676816669-1527","https://www.flashscore.com/match/jTgA8mrd/#/match-summary","02.11.2013 21:00","Rayo Vallecano","Real Madrid","2-3Finished","Lineups","https://www.flashscore.com/match/jTgA8mrd/#/match-summary/lineups","Adrian","null","Campo de Futbol de Vallecas (Madrid)","LaLiga - Round 12","Arbilla A.","Bangoura A.","Falque I.","Galvez A.","Nacho","Niguez S.","Ruben (G)","Tito","Trashorras R.","Viera J.","null","null","null","Alonso X.","Bale G.","Benzema K.","Carvajal D.","Coentrao F.","Di Maria A.","Lopez D. (G)","Modric L.","Pepe","Ramos S.","Ronaldo C.","null","null","null"
"1676816678-1528","https://www.flashscore.com/match/d6f69TSk/#/match-summary","02.11.2013 23:00","Sevilla","Celta Vigo","0-1Finished","Lineups","https://www.flashscore.com/match/d6f69TSk/#/match-summary/lineups","Bacca C.","null","Estadio Ramón Sánchez Pizjuán (Sevilla)","LaLiga - Round 12","Beto (G)","Carrico D.","Figueiras D.","Gameiro K.","Mbia S.","Moreno A.","Pareja N.","Rakitic I.","Samperio J.","Vitolo","null","null","null","Cabral G.","Charles","Fernandez A.","Fontas A.","Lopez A.","Mallo H.","Mina S.","Nolito","Oubina B.","Toni","Yoel (G)","null","null","null"
"1676816686-1529","https://www.flashscore.com/match/8tMIIX53/#/match-summary","03.11.2013 13:00","Getafe","Valencia","0-1Finished","Lineups","https://www.flashscore.com/match/8tMIIX53/#/match-summary/lineups","Alexis","null","Coliseum Alfonso Perez (Getafe)","LaLiga - Round 12","Arroyo A.","Borja","Escudero S.","Lafita A.","Leon P.","Lopez L.","Marica C.","Mosquera P.","Moya M. A. (G)","Sarabia P.","null","null","null","Alcacer P.","Banega E.","Barragan A.","Bernat J.","Costa R.","Diego Alves (G)","Fuego J.","Mathieu J.","Pabon D.","Parejo D.","Piatti P.","null","null","null"
"1676816694-1530","https://www.flashscore.com/match/UeARGBzG/#/match-summary","03.11.2013 18:00","Atl. Madrid","Ath Bilbao","2-0Finished","Lineups","https://www.flashscore.com/match/UeARGBzG/#/match-summary/lineups","Adrian","null","Estadio Vicente Calderón (Madrid)","LaLiga - Round 12","Costa D.","Courtois T. (G)","Filipe Luis","Gabi","Godin D.","Juanfran","Koke","Miranda","Tiago","Villa D.","null","null","null","Aduriz A.","Balenziaga M.","Benat","de Marcos O.","Gurpegi C.","Iraizoz G. (G)","Iraola A.","Laporte A.","Muniain I.","Rico M.","San Jose M.","null","null","null"
"1676816703-1531","https://www.flashscore.com/match/bVEVFVkM/#/match-summary","03.11.2013 20:00","Levante","Granada CF","0-1Finished","Lineups","https://www.flashscore.com/match/bVEVFVkM/#/match-summary/lineups","Baba","null","Estadi Ciutat de València (Valencia)","LaLiga - Round 12","Diop P.","El Adoua I.","El Zhar N.","Garcia R.","Juanfran","Lell C.","Lopez P.","Navarro D.","Navas K. (G)","Vyntra L.","null","null","null","Angulo B.","Buonanotte D.","Diakhate P.","El Arabi Y.","Fernandez R. (G)","Iturra M.","Murillo J.","Nyom A.","Pereira M.","Recio","Rico F.","null","null","null"
"1676816711-1532","https://www.flashscore.com/match/xMDZEk5S/#/match-summary","03.11.2013 22:00","Malaga","Betis","3-2Finished","Lineups","https://www.flashscore.com/match/xMDZEk5S/#/match-summary/lineups","Antunes V.","null","Estadio La Rosaleda (Málaga)","LaLiga - Round 12","Caballero W. (G)","Darder S.","Eliseu","Gamez J.","Olinga F.","Portillo F.","Sanchez S.","Santa C. R.","Tissone F.","Weligton","null","null","null","Andersen S. (G)","Figueras J.","Juanfran","Juankar","Molina J.","Nacho","Nono","Perquis D.","Torres X.","Vadillo A.","Verdu J.","null","null","null"
"1676816720-1533","https://www.flashscore.com/match/j5BNHiL9/#/match-summary","04.11.2013 23:00","Elche","Villarreal","0-1Finished","Lineups","https://www.flashscore.com/match/j5BNHiL9/#/match-summary/lineups","Botia A.","null","Estadio Manuel Martínez Valero (Elche)","LaLiga - Round 12","Cisma D.","del Moral M.","Fidel","Gil C.","Herrera M. (G)","Lomban D.","Niguez A.","Perez R.","Sanchez C.","Suarez D.","null","null","null","Asenjo S. (G)","Bruno","Cani","Costa J.","dos Santos G.","Gabriel Paulista","Hernan Perez","Mario Gaspar","Musacchio M.","Trigueros M.","Uche I.","null","null","null"
"1676816729-1534","https://www.flashscore.com/match/j3zn4g87/#/match-summary","08.11.2013 21:00","Osasuna","Almeria","0-1Finished","Lineups","https://www.flashscore.com/match/j3zn4g87/#/match-summary/lineups","Armenteros E.","null","Estadio El Sadar (Pamplona)","LaLiga - Round 13","Arribas A.","Bertran M.","Cejudo A.","Damia","Fernandez A. (G)","Flano M.","Loe R.","Riera O.","Silva F.","Torres R.","null","null","null","Azeez R.","Dubarbier S.","Esteban (G)","Nelson","Pellerano H.","Rodri","Soriano F.","Tebar M.","Torsiglieri M.","Trujillo A.","Vidal A.","null","null","null"
"1676816737-1535","https://www.flashscore.com/match/nVi3CH0R/#/match-summary","08.11.2013 23:00","Granada CF","Malaga","3-1Finished","Lineups","https://www.flashscore.com/match/nVi3CH0R/#/match-summary/lineups","Angulo B.","null","Estadio Nuevo Los Cármenes (Granada)","LaLiga - Round 13","Brahimi Y.","Buonanotte D.","Diakhate P.","El Arabi Y.","Fernandez R. (G)","Foulquier D.","Iturra M.","Murillo J.","Rico F.","Yebda H.","null","null","null","Angeleri M.","Antunes V.","Caballero W. (G)","Darder S.","Eliseu","Gamez J.","Olinga F.","Portillo F.","Samuel","Sanchez S.","Tissone F.","null","null","null"
"1676816746-1536","https://www.flashscore.com/match/vTWs5Zh1/#/match-summary","09.11.2013 17:00","Real Madrid","Real Sociedad","5-1Finished","Lineups","https://www.flashscore.com/match/vTWs5Zh1/#/match-summary/lineups","Alonso X.","null","Estadio Santiago Bernabéu (Madrid)","LaLiga - Round 13","Arbeloa A.","Bale G.","Benzema K.","Carvajal D.","Khedira S.","Lopez D. (G)","Modric L.","Pepe (C)","Ronaldo C.","Varane R.","null","null","null","Bergara M.","Bravo C. (G)","Cote","Elustondo G.","Gonzalez M.","Griezmann A.","Martinez C.","Martinez I.","Prieto X. (C)","Seferovic H.","Vela C.","null","null","null"
"1676816754-1537","https://www.flashscore.com/match/dtajFJG8/#/match-summary","09.11.2013 19:00","Getafe","Elche","1-1Finished","Lineups","https://www.flashscore.com/match/dtajFJG8/#/match-summary/lineups","Borja","null","Coliseum Alfonso Perez (Getafe)","LaLiga - Round 13","Castro D.","Lago R.","Leon P.","Lopez L.","Marica C.","Mosquera P.","Moya M. A. (G)","Rafa (C)","Sarabia P.","Valera J.","null","null","null","Boakye R.","Botia A.","Cisma D.","Gil C.","Herrera M. (G)","Marquez J.","Niguez A.","Pelegrin S. (C)","Perez R.","Sanchez C.","Suarez D.","null","null","null"
"1676816762-1538","https://www.flashscore.com/match/462bDcoL/#/match-summary","09.11.2013 21:00","Ath Bilbao","Levante","2-1Finished","Lineups","https://www.flashscore.com/match/462bDcoL/#/match-summary/lineups","Benat","null","Estadio San Mamés (Bilbao)","LaLiga - Round 13","de Marcos O.","Guillermo","Gurpegi C. (C)","Ibai","Iraizoz G. (G)","Iraola A.","Iturraspe A.","Laporte A.","Muniain I.","Susaeta M.","null","null","null","Barral D.","Diop P.","El Adoua I.","Garcia R.","Ivanschitz A.","Juanfran (C)","Lopez P.","Navas K. (G)","Rodas H.","Simao","Xumetra J.","null","null","null"
"1676816771-1539","https://www.flashscore.com/match/d4sw6Fwe/#/match-summary","09.11.2013 23:00","Celta Vigo","Rayo Vallecano","0-2Finished","Lineups","https://www.flashscore.com/match/d4sw6Fwe/#/match-summary/lineups","Charles","null","Estadio de Balaídos (Vigo)","LaLiga - Round 13","Costas D.","Fernandez A. (C)","Fontas A.","Lopez A.","Mallo H.","Mina S.","Nolito","Oubina B.","Toni","Yoel (G)","null","null","null","Arbilla A.","Bangoura A.","Bueno","Falque I.","Galvez A.","Nacho","Niguez S.","Ruben (G)","Tito","Trashorras R. (C)","Viera J.","null","null","null"
"1676816779-1540","https://www.flashscore.com/match/IDrZ6eOl/#/match-summary","10.11.2013 13:00","Espanyol","Sevilla","1-3Finished","Lineups","https://www.flashscore.com/match/IDrZ6eOl/#/match-summary/lineups","Abraham","null","RCDE Stadium (Cornella de Llobregat)","LaLiga - Round 13","Casilla K. (G)","Fuentes J. R.","Garcia S. (C)","Lanzarote M.","Lopez J.","Moreno H.","Rodriguez R.","Sanchez V.","Sidnei","Simao","null","null","null","Bacca C.","Beto (G)","Carrico D.","Fazio F.","Figueiras D.","Iborra V.","Moreno A.","Pareja N.","Rakitic I. (C)","Samperio J.","Vitolo","null","null","null"
"1676816788-1541","https://www.flashscore.com/match/46OTSxo8/#/match-summary","10.11.2013 18:00","Valencia","Valladolid","2-2Finished","Lineups","https://www.flashscore.com/match/46OTSxo8/#/match-summary/lineups","Alcacer P.","null","Estadio de Mestalla (Valencia)","LaLiga - Round 13","Banega E.","Barragan A.","Bernat J.","Costa R. (C)","Fuego J.","Guaita V. (G)","Mathieu J.","Pabon D.","Parejo D.","Piatti P.","null","null","null","Bergdich Z.","Garcia G.","Guerra J.","Larsson D.","Marino D. (G)","Pena C.","Rossi F.","Rubio A.","Rueda J.","Sastre L. (C)","Valiente M.","null","null","null"
"1676816796-1542","https://www.flashscore.com/match/j3bfEwWE/#/match-summary","10.11.2013 20:00","Villarreal","Atl. Madrid","1-1Finished","Lineups","https://www.flashscore.com/match/j3bfEwWE/#/match-summary/lineups","Asenjo S. (G)","null","Estadio de la Ceramica (Villarreal)","LaLiga - Round 13","Bruno","Cani","Costa J.","Gabriel Paulista","Hernan Perez","Mario Gaspar","Musacchio M.","Pereira J.","Pina T.","Uche I.","null","null","null","Alderweireld T.","Costa D.","Courtois T. (G)","Gabi","Garcia R.","Insua E.","Juanfran","Koke","Miranda","Tiago","Villa D.","null","null","null"
"1676816805-1543","https://www.flashscore.com/match/lvvV7y9r/#/match-summary","10.11.2013 22:00","Betis","Barcelona","1-4Finished","Lineups","https://www.flashscore.com/match/lvvV7y9r/#/match-summary/lineups","Caro J.","null","Estadio Benito Villamarín (Sevilla)","LaLiga - Round 13","Figueras J.","Juankar","Molina J.","Nacho","Nono","Sara G. (G)","Steinhofer M.","Torres X.","Vadillo A.","Verdu J.","null","null","null","Bartra M.","Dani Alves","Fabregas C.","Messi L.","Montoya M.","Neymar","Pedro","Puyol C.","Song A.","Valdes V. (G)","Xavi","null","null","null"
"1676816813-1544","https://www.flashscore.com/match/KrYBuGUD/#/match-summary","22.11.2013 22:00","Valladolid","Osasuna","0-1Finished","Lineups","https://www.flashscore.com/match/KrYBuGUD/#/match-summary/lineups","Bergdich Z.","null","Estadio José Zorrilla (Valladolid)","LaLiga - Round 14","Ebert P.","Garcia G.","Guerra J.","Larsson D.","Marino D. (G)","Pena C.","Rubio A.","Rueda J.","Sastre L.","Valiente M.","null","null","null","Armenteros E.","Arribas A.","Bertran M.","Cejudo A.","Damia","de las Cuevas M.","Fernandez A. (G)","Lolo","Loties J.","Punal F.","Torres R.","null","null","null"
