date - time,team1,team2,result (team1 - team2),team1 player1,team1 player2,team1 player3,team1 player4,team1 player5,team1 player6,team1 player7,team1 player8,team1 player9,team1 player10,team1 player11,team1 missing player1,team1 missing player2,team1 missing player3,team2 player1,team2 player2,team2 player3,team2 player4,team2 player5,team2 player6,team2 player7,team2 player8,team2 player9,team2 player10,team2 player11,team2 missing player1,team2 missing player2,team2 missing player3,attendance,place,round
17.08.2018 21:15,Girona,Valladolid,0-0Finished,Bernardo,Bono (G),Garcia A.,Garcia B.,Granell A. (C),Juanpe,Muniesa M.,Porro P.,Portu,Stuani C.,Timor D.,Aday,Mojica J.,Planas C.,Alcaraz R.,Anuar,Borja,Calero F.,Keko,Kiko Olivas,Masip J. (G),Moyano J. (C),Nacho,Ramos De la Flor C.,Villa T.,Cotan A.,Lopez I.,Luismi,10 368,Estadio Municipal de Montilivi (Girona),LaLiga - Round 1
17.08.2018 23:15,Betis,Levante,0-3Finished,Bartra M.,Boudebouz R.,Canales S.,Carvalho W.,Feddal Z.,Firpo J.,Guardado A. (C),Guerrero F.,Lopez P. (G),Mandi A.,Moron L.,Garcia J.,Joaquin,Tello C.,Bardhi E.,Campana J.,Chema,Coke,Doukoure C.,Jason,Marti R.,Morales J. L. (C),Oier (G),Postigo S.,Tono,Boateng E.,Cabaco E.,Lopez I.,46 225,Estadio Benito Villamarin (Sevilla),LaLiga - Round 1
18.08.2018 19:15,Celta Vigo,Espanyol,1-1Finished,Alvarez S. (G),Araujo N.,Aspas I.,Beltran F.,Cabral G.,Gomez M.,Junior Alonso,Lobotka S.,Mallo H. (C),Mendez B.,Sisto P.,Blanco R.,Jensen M.,Junca D.,Darder S.,Hermoso M.,Iglesias B.,Leo Baptistao,Lopez D. (G),Lopez D.,Lopez J. (C),Piatti P.,Roca M.,Sanchez V.,Vila D.,Granero E.,Sanchez S.,null,16 215,Estadio de Balaidos (Vigo),LaLiga - Round 1
18.08.2018 21:15,Villarreal,Real Sociedad,1-2Finished,Asenjo S. (G),Caseres S.,Cazorla S.,Fornals P.,Gonzalez A.,Mario Gaspar (C),Moreno G.,Mori R.,Morlanes M.,Pedraza A.,Toko Ekambi K.,Bonera D.,Bruno,Fuego J.,Hernandez T.,Illarramendi A. (C),Llorente D.,Merino M.,Moreno H.,Oyarzabal M.,Pardo R.,Rulli G. (G),Willian Jose,Zaldua J.,Zubeldia I.,Concha D.,Guridi J.,Januzaj A.,16 250,Estadio de la Ceramica (Villarreal),LaLiga - Round 1
18.08.2018 23:15,Barcelona,Alaves,3-0Finished,Alba J.,Busquets S.,Dembele O.,Messi L. (C),Pique G.,Rakitic I.,Roberto S.,Semedo N.,Suarez L.,ter Stegen M. (G),Umtiti S.,Alena C.,Samper S.,Suarez D.,Aguirregabiria M.,Duarte R.,Garcia M. (C),Ibai,Jony,Laguardia V.,Maripan G.,Pacheco F. (G),Sobrino R.,Torres D.,Wakaso M.,Ely R.,Pina T.,null,52 356,Camp Nou (Barcelona),LaLiga - Round 1
19.08.2018 19:15,Eibar,Huesca,1-2Finished,Arbilla A.,Bebe,Cote,Diop P.,Dmitrovic M. (G),Enrich S. (C),Garcia K.,Jordan J.,Oliveira P.,Orellana F.,Pena R.,Cardona M.,Galvez A.,Leon P.,Cucho,Etxeita X.,Gallar A.,Gomez M.,Longo S.,Luisinho,Melero G. (C),Miramon,Musto M.,Pulido J.,Werner A. (G),null,null,null,4 234,Estadio Municipal de Ipurua (Eibar),LaLiga - Round 1
19.08.2018 21:15,Rayo Vallecano,Sevilla,1-4Finished,Amat J.,Ba A.,Dorado J. A.,Embarba A.,Garcia A. (G) (C),Kakuta G.,Medran A.,Moreno A.,Pozo J.,Tito,Trejo O.,Velazquez E.,null,null,Andre Silva,Banega E.,Escudero S. (C),Gabriel Mercado,Gomez S.,Kjaer S.,Mesa R.,Navas J.,Sarabia P.,Vaclik T. (G),Vazquez F.,Fernandez C.,Pareja N.,null,11 626,Campo de Futbol de Vallecas (Madrid),LaLiga - Round 1
19.08.2018 23:15,Real Madrid,Getafe,2-0Finished,Asensio M.,Bale G.,Benzema K.,Carvajal D.,Ceballos D.,Fernandez N.,Isco,Kroos T.,Marcelo,Navas K. (G),Ramos S. (C),Odriozola A.,null,null,Arambarri M.,Cabrera L.,Djene,Gonzalez B.,Maksimovic N.,Molina J. (C),Ndiaye A.,Portillo F.,Shibasaki G.,Soria D. (G),Suarez D.,Bergara M.,null,null,48 446,Estadio Santiago Bernabeu (Madrid),LaLiga - Round 1
20.08.2018 21:00,Valencia,Atl. Madrid,1-1Finished,Gabriel Paulista,Garay E.,Gaya J.,Kondogbia G.,Mina S.,Neto (G),Parejo D. (C),Piccini C.,Rodrigo,Soler C.,Wass D.,Coquelin F.,null,null,Correa A.,Costa D.,Filipe Luis,Godin D. (C),Griezmann A.,Juanfran,Koke,Lemar T.,Niguez S.,Oblak J. (G),Savic S.,Hernandez L.,null,null,46 174,Estadio de Mestalla (Valencia),LaLiga - Round 1
20.08.2018 23:00,Ath Bilbao,Leganes,2-1Finished,Aduriz A.,Alvarez Y.,Berchiche Y.,de Marcos O.,Garcia D.,Lopez U.,Muniain I.,Nolaskoain P.,Simon U. (G),Susaeta M. (C),Williams I.,Herrerin I.,Lekue I.,Martinez I.,Carrillo G.,El Zhar N.,Eraso J.,Garcia R.,Gumbau G.,Juanfran,Munoz E.,Perez R. (C),Pichu Cuellar (G),Silva J.,Siovas D.,Rolan D.,Szymanowski A.,null,38 327,Estadio San Mames (Bilbao),LaLiga - Round 1
24.08.2018 21:15,Getafe,Eibar,2-0Finished,Alejo I.,Antunes V.,Arambarri M.,Djene,Gonzalez B. (C),Maksimovic N.,Mata J.,Portillo F.,Rodriguez A.,Soria D. (G),Suarez D.,Bergara M.,null,Orellana F.,Arbilla A.,Cote,Diop P.,Dmitrovic M. (G),Enrich S.,Escalante G. (C),Garcia K.,Jordan J.,Milla P.,Oliveira P.,Pena R.,Galvez A.,Leon P.,Orellana F.,7 851,Coliseum Alfonso Perez (Getafe),LaLiga - Round 2
24.08.2018 23:15,Leganes,Real Sociedad,2-2Finished,Carrillo G.,El Zhar N.,Eraso J.,Gumbau G.,Juanfran,Munoz E.,Ojeda D.,Perez R. (C),Pichu Cuellar (G),Silva J.,Siovas D.,Jose A.,Szymanowski A.,Guridi J.,Hernandez T.,Illarramendi A. (C),Juanmi,Llorente D.,Moreno H.,Oyarzabal M.,Rulli G. (G),Willian Jose,Zaldua J.,Zubeldia I.,Zurutuza D.,Agirretxe I.,Concha D.,Guridi J.,9 735,Estadio Municipal de Butarque (Leganes),LaLiga - Round 2
25.08.2018 19:15,Alaves,Betis,0-0Finished,Aguirregabiria M.,Baston B.,Duarte R.,Garcia M. (C),Ibai,Jony,Laguardia V.,Maripan G.,Pacheco F. (G),Sobrino R.,Wakaso M.,Ely R.,Pina T.,null,Bartra M.,Canales S.,Carvalho W.,Feddal Z.,Firpo J.,Guardado A. (C),Guerrero F.,Inui T.,Lopez P. (G),Mandi A.,Moron L.,Garcia J.,Joaquin,null,18 221,Estadio Mendizorrotza (Vitoria-Gasteiz),LaLiga - Round 2
25.08.2018 21:15,Atl. Madrid,Rayo Vallecano,1-0Finished,Correa A.,Costa D.,Godin D. (C),Griezmann A.,Hernandez L.,Juanfran,Lemar T.,Niguez S.,Oblak J. (G),Rodri,Savic S.,Vitolo,null,null,Advincula L.,Amat J.,Ba A.,Comesana S.,Elustondo G.,Embarba A.,Garcia A. (G) (C),Garcia A.,Kakuta G.,Moreno A.,Trejo O.,null,null,null,52 693,Metropolitano Stadium (Madrid),LaLiga - Round 2
25.08.2018 23:15,Valladolid,Barcelona,0-1Finished,Alcaraz R.,Anuar,Borja,Calero F.,Kiko Olivas,Masip J. (G),Moyano J. (C),Nacho,Plano O.,Unal E.,Villa T.,Cotan A.,Lopez I.,Luismi,Alba J.,Busquets S.,Coutinho,Dembele O.,Messi L. (C),Pique G.,Rakitic I.,Roberto S.,Suarez L.,ter Stegen M. (G),Umtiti S.,Alena C.,Cillessen J.,Samper S.,22 651,Estadio Jose Zorrilla (Valladolid),LaLiga - Round 2
26.08.2018 19:15,Espanyol,Valencia,2-0Finished,Darder S.,Garcia S.,Granero E.,Hermoso M.,Iglesias B.,Leo Baptistao,Lopez D. (G),Lopez D.,Lopez J. (C),Roca M.,Vila D.,Sanchez S.,null,null,Diakhaby M.,Gabriel Paulista,Gaya J.,Kondogbia G.,Mina S.,Neto (G),Parejo D. (C),Piccini C.,Rodrigo,Soler C.,Wass D.,Coquelin F.,Garay E.,null,18 714,RCDE Stadium (Cornella de Llobregat),LaLiga - Round 2
26.08.2018 23:15,Sevilla,Villarreal,0-0Finished,Andre Silva,Banega E.,Escudero S.,Gabriel Mercado,Gomez S.,Kjaer S.,Mesa R.,Navas J. (C),Sarabia P.,Vaclik T. (G),Vazquez F.,Amadou I.,null,Fuego J.,Asenjo S. (G),Caseres S.,Cazorla S.,Fornals P.,Gonzalez A.,Mario Gaspar (C),Moreno G.,Pedraza A.,Ruiz V.,Toko Ekambi K.,Trigueros M.,Bonera D.,Bruno,Fuego J.,35 831,Estadio Ramon Sanchez Pizjuan (Sevilla),LaLiga - Round 2
