team1,team2,team1 history points,team2 history points,team1 market value,team2 market value,audience,team1 table position,team2 table position,team1 Rank,team2 Rank,result
Real Sociedad,Espanyol,1,3,23.295,9.78,18.434,9,13,156,154,0
Real Madrid,Eibar,8,-4,95.535,6.005,63.705,3,17,172,152,1
Leganes,Ath Bilbao,8,1,5.855,24.94,10.509,6,11,150,158,1
Celta Vigo,Atl. Madrid,8,9,17.305,71.115,13.031,10,6,156,166,2
Villarreal,Las Palmas,5,-9,22,9.125,16.709,9,18,160,154,1
Barcelona,Malaga,11,-6,109,5.52,69.872,1,20,170,154,1
Valencia,Sevilla,13,1,39.805,25.32,44.375,4,6,156,162,1
Betis,Alaves,4,-4,13.225,7.48,49.304,9,19,152,150,1
Levante,Getafe,1,-2,6.185,6.56,17.287,12,15,148,144,0
Las Palmas,Dep. La Coruna,-9,-1,9.125,6.645,14.769,18,16,154,152,2
Eibar,Levante,-6,-1,6.005,6.185,5.131,17,12,152,148,0
Espanyol,Betis,4,6,9.78,13.225,17.545,14,8,154,152,1
Malaga,Celta Vigo,-7,4,5.52,17.305,19.541,20,12,154,156,1
Girona,Real Madrid,1,13,8.175,95.535,13.382,15,3,142,172,1
Getafe,Real Sociedad,1,4,6.56,23.295,11.01,16,9,144,156,1
Sevilla,Leganes,-4,11,25.32,5.855,32.097,6,5,162,150,1
Ath Bilbao,Barcelona,-2,11,24.94,109,43.57,15,1,158,170,2
Atl. Madrid,Villarreal,9,8,71.115,22,61.421,4,7,166,160,0
Alaves,Valencia,-4,13,7.48,39.805,18.638,20,2,150,156,2
Real Madrid,Las Palmas,6,-9,95.535,9.125,67.12,3,18,172,154,1
Villarreal,Malaga,11,-2,22,5.52,17.755,7,19,160,154,1
Real Sociedad,Eibar,1,-1,23.295,6.005,20.387,9,17,156,152,1
Celta Vigo,Ath Bilbao,-2,-4,17.305,24.94,19.779,14,15,156,158,1
Levante,Girona,2,5,6.185,8.175,18.324,12,13,148,142,2
Barcelona,Sevilla,11,3,109,25.32,70.723,1,6,170,162,1
Alaves,Espanyol,-4,4,7.48,9.78,19.368,20,12,150,154,1
Dep. La Coruna,Atl. Madrid,6,6,6.645,71.115,22.733,16,4,152,166,2
Valencia,Leganes,13,3,39.805,5.855,39.694,2,7,156,150,1
Betis,Getafe,-2,1,13.225,6.56,42.323,9,14,152,144,0
Eibar,Betis,-4,1,6.005,13.225,4.638,17,9,152,152,1
Ath Bilbao,Villarreal,-4,11,24.94,22,36.666,15,5,158,160,0
Las Palmas,Levante,-9,-1,9.125,6.185,26.212,18,14,154,148,2
Espanyol,Valencia,1,13,9.78,39.805,25.529,13,2,154,156,2
Malaga,Dep. La Coruna,-4,-2,5.52,6.645,24.563,20,16,154,152,1
Atl. Madrid,Real Madrid,8,8,71.115,95.535,66.496,4,3,166,172,0
Sevilla,Celta Vigo,-4,3,25.32,17.305,35.03,6,12,162,156,1
Leganes,Barcelona,1,10,5.855,109,11.454,7,1,150,170,2
Getafe,Alaves,4,-2,6.56,7.48,10.014,14,20,144,150,1
Girona,Real Sociedad,8,6,8.175,23.295,10.136,11,8,142,156,0
Espanyol,Getafe,-2,8,9.78,6.56,11.756,14,10,154,144,1
Valencia,Barcelona,13,13,39.805,109,47.775,2,1,156,170,0
Villarreal,Sevilla,9,3,22,25.32,18.698,6,5,160,162,2
Real Sociedad,Las Palmas,3,-9,23.295,9.125,19.78,7,19,156,154,0
Dep. La Coruna,Ath Bilbao,-4,-4,6.645,24.94,20.879,16,15,152,158,0
Levante,Atl. Madrid,3,9,6.185,71.115,21.549,13,5,148,166,2
Betis,Girona,-1,11,13.225,8.175,45.681,9,11,152,142,0
Real Madrid,Malaga,6,3,95.535,5.52,75.671,5,18,172,154,1
Alaves,Eibar,-4,1,7.48,6.005,19.272,20,17,150,152,2
Celta Vigo,Leganes,-4,-4,17.305,5.855,10.611,14,9,156,150,1
Girona,Alaves,9,-4,8.175,7.48,7.316,10,20,142,150,2
Las Palmas,Betis,-4,-1,9.125,13.225,16.313,20,8,154,152,1
Eibar,Espanyol,5,3,6.005,9.78,4.693,15,13,152,154,1
Getafe,Valencia,4,11,6.56,39.805,12.48,13,2,144,156,1
Leganes,Villarreal,-9,1,5.855,22,10.017,10,6,150,160,1
Ath Bilbao,Real Madrid,-1,6,24.94,95.535,44.884,16,4,158,172,0
Sevilla,Dep. La Coruna,8,1,25.32,6.645,32.017,5,17,162,152,1
Atl. Madrid,Real Sociedad,8,4,71.115,23.295,57.394,5,8,166,156,1
Barcelona,Celta Vigo,11,3,109,17.305,63.208,1,12,170,156,0
Malaga,Levante,1,-2,5.52,6.185,17.886,20,15,154,148,0
Espanyol,Girona,-4,2,9.78,8.175,13.846,14,12,154,142,2
Villarreal,Barcelona,-1,9,22,109,21.087,6,1,160,170,2
Levante,Ath Bilbao,1,2,6.185,24.94,18.005,15,16,148,158,2
Betis,Atl. Madrid,-4,11,13.225,71.115,45.517,11,3,152,166,2
Real Sociedad,Malaga,2,1,23.295,5.52,16.834,9,20,156,154,2
Valencia,Celta Vigo,4,6,39.805,17.305,35.633,3,12,156,156,1
Dep. La Coruna,Leganes,-6,-2,6.645,5.855,18.366,17,7,152,150,1
Real Madrid,Sevilla,9,8,95.535,25.32,76.924,4,5,172,162,1
Getafe,Eibar,5,8,6.56,6.005,9.317,10,13,144,152,0
Alaves,Las Palmas,3,1,7.48,9.125,18.567,20,19,150,154,1
Leganes,Real Madrid,-4,8,5.855,95.535,11.423,7,4,150,172,2
Malaga,Betis,6,-6,5.52,13.225,22.488,19,11,154,152,2
Barcelona,Dep. La Coruna,9,1,109,6.645,53.607,1,17,170,152,1
Las Palmas,Espanyol,-1,-4,9.125,9.78,14.02,20,15,154,154,0
Celta Vigo,Villarreal,-1,-7,17.305,22,18.215,12,6,156,160,2
Girona,Getafe,3,6,8.175,6.56,10.095,9,10,142,144,1
Atl. Madrid,Alaves,10,3,71.115,7.48,49.937,4,18,166,150,1
Eibar,Valencia,11,6,6.005,39.805,5.219,13,3,152,156,1
Ath Bilbao,Real Sociedad,6,-4,24.94,23.295,45.504,14,12,158,156,0
Sevilla,Levante,6,-1,25.32,6.185,25.803,5,16,162,148,0
Dep. La Coruna,Celta Vigo,-2,-1,6.645,17.305,27.877,17,13,152,156,2
Valencia,Villarreal,-2,-2,39.805,22,39.181,3,6,156,160,2
Real Madrid,Barcelona,11,8,95.535,109,80.264,4,1,172,170,2
Espanyol,Atl. Madrid,1,13,9.78,71.115,19.327,15,2,154,166,1
Betis,Ath Bilbao,0,6,13.225,24.94,42.713,8,15,152,158,2
Alaves,Malaga,1,-1,7.48,5.52,18.733,18,19,150,154,1
Eibar,Girona,11,5,6.005,8.175,4.867,9,7,152,142,1
Real Sociedad,Sevilla,-2,6,23.295,25.32,17.205,14,5,156,162,1
Getafe,Las Palmas,-1,3,6.56,9.125,9.231,14,20,144,154,1
Levante,Leganes,-1,-4,6.185,5.855,14.639,16,14,148,150,0
Malaga,Espanyol,-2,1,5.52,9.78,12.149,19,15,154,154,2
Celta Vigo,Real Madrid,0,3,17.305,95.535,20.872,13,4,156,172,0
Ath Bilbao,Alaves,8,8,24.94,7.48,41,14,18,158,150,1
Villarreal,Dep. La Coruna,3,-4,22,6.645,15.442,6,17,160,152,0
Barcelona,Levante,10,1,109,6.185,56.38,1,16,170,148,1
Leganes,Real Sociedad,1,1,5.855,23.295,7.523,15,10,150,156,1
Sevilla,Betis,-1,-4,25.32,13.225,40.282,5,15,162,152,2
Las Palmas,Eibar,-1,11,9.125,6.005,12.059,20,7,154,152,2
Valencia,Girona,-4,1,39.805,8.175,27.749,4,11,156,142,1
Atl. Madrid,Getafe,6,6,71.115,6.56,47.023,3,13,166,144,1
Betis,Leganes,3,1,13.225,5.855,41.777,10,9,152,150,1
Real Sociedad,Barcelona,-1,13,23.295,109,23.277,12,1,156,170,2
Espanyol,Ath Bilbao,6,11,9.78,24.94,20.228,14,9,154,158,0
Alaves,Sevilla,1,-6,7.48,25.32,19.413,18,5,150,162,1
Levante,Celta Vigo,-3,1,6.185,17.305,17.007,16,15,148,156,2
Dep. La Coruna,Valencia,1,3,6.645,39.805,19.031,18,3,152,156,2
Eibar,Atl. Madrid,10,8,6.005,71.115,6.186,7,3,152,166,2
Real Madrid,Villarreal,6,6,95.535,22,63.403,4,6,172,160,2
Girona,Las Palmas,1,-6,8.175,9.125,10.037,13,20,142,154,1
Getafe,Malaga,-2,-4,6.56,5.52,9.513,15,19,144,154,1
Eibar,Malaga,6,-9,6.005,5.52,4.52,7,19,152,154,0
Betis,Barcelona,8,13,13.225,109,53.426,8,1,152,170,2
Real Sociedad,Celta Vigo,-2,6,23.295,17.305,19.081,15,12,156,156,2
Real Madrid,Dep. La Coruna,-1,-6,95.535,6.645,63.504,4,18,172,152,1
Alaves,Leganes,3,-1,7.48,5.855,19.637,17,13,150,150,0
Las Palmas,Valencia,-7,3,9.125,39.805,20.242,20,3,154,156,1
Villarreal,Levante,11,-4,22,6.185,16.773,5,17,160,148,1
Atl. Madrid,Girona,8,3,71.115,8.175,55.076,2,10,166,142,0
Espanyol,Sevilla,8,-7,9.78,25.32,19.607,14,6,154,162,2
Getafe,Ath Bilbao,3,8,6.56,24.94,11.457,11,12,144,158,0
Celta Vigo,Betis,11,1,17.305,13.225,14.667,8,9,156,152,1
Barcelona,Alaves,13,6,109,7.48,62.369,1,16,170,150,1
Sevilla,Getafe,-2,6,25.32,6.56,34.011,6,11,162,144,0
Atl. Madrid,Las Palmas,6,-2,71.115,9.125,55.363,2,19,166,154,1
Leganes,Espanyol,3,4,5.855,9.78,10.132,13,14,150,154,1
Villarreal,Real Sociedad,11,-4,22,23.295,15.052,5,15,160,156,1
Malaga,Girona,-4,1,5.52,8.175,22.125,20,12,154,142,0
Valencia,Real Madrid,1,1,39.805,95.535,47.034,3,4,156,172,2
Dep. La Coruna,Levante,-6,-7,6.645,6.185,20.151,18,17,152,148,0
Ath Bilbao,Eibar,9,6,24.94,6.005,39.331,13,8,158,152,0
Las Palmas,Malaga,-4,-1,9.125,5.52,17.424,19,20,154,154,1
Atl. Madrid,Valencia,11,1,71.115,39.805,49.596,2,4,166,156,1
Girona,Ath Bilbao,4,7,8.175,24.94,9.602,11,13,142,158,1
Espanyol,Barcelona,-1,13,9.78,109,23.287,14,1,154,170,0
Getafe,Leganes,4,6,6.56,5.855,10.657,10,11,144,150,0
Levante,Real Madrid,-4,5,6.185,95.535,23.542,17,3,148,172,0
Alaves,Celta Vigo,-1,10,7.48,17.305,19.437,17,7,150,156,1
Betis,Villarreal,1,10,13.225,22,50.102,12,5,152,160,1
Eibar,Sevilla,4,1,6.005,25.32,5.311,10,6,152,162,1
Real Sociedad,Dep. La Coruna,-9,-2,23.295,6.645,15.626,15,18,156,152,1
Dep. La Coruna,Betis,-6,3,6.645,13.225,20.49,18,10,152,152,2
Valencia,Levante,-4,-1,39.805,6.185,38.199,4,17,156,148,1
Celta Vigo,Espanyol,6,-2,17.305,9.78,15.649,9,15,156,154,0
Barcelona,Getafe,11,7,109,6.56,75.681,1,11,170,144,0
Sevilla,Girona,-1,9,25.32,8.175,33.129,6,10,162,142,1
Real Madrid,Real Sociedad,6,-2,95.535,23.295,63.811,4,14,172,156,1
Leganes,Eibar,4,4,5.855,6.005,9.327,12,8,150,152,2
Malaga,Atl. Madrid,-3,11,5.52,71.115,25.482,20,2,154,166,2
Villarreal,Alaves,6,6,22,7.48,14.984,5,16,160,150,2
Ath Bilbao,Las Palmas,-1,3,24.94,9.125,33.679,13,19,158,154,0
Getafe,Celta Vigo,4,6,6.56,17.305,8.367,11,9,144,156,1
Betis,Real Madrid,3,11,13.225,95.535,53.486,8,3,152,172,2
Espanyol,Villarreal,-1,1,9.78,22,19.688,15,5,154,160,0
Atl. Madrid,Ath Bilbao,10,1,71.115,24.94,60.022,2,13,166,158,1
Real Sociedad,Levante,-4,-3,23.295,6.185,18.173,15,17,156,148,1
Malaga,Valencia,-4,-2,5.52,39.805,21.134,20,4,154,156,2
Alaves,Dep. La Coruna,5,-6,7.48,6.645,19.453,16,19,150,152,1
Eibar,Barcelona,8,9,6.005,109,6.76,7,1,152,170,2
Las Palmas,Sevilla,6,6,9.125,25.32,19.161,18,6,154,162,2
Girona,Leganes,1,1,8.175,5.855,9.142,11,12,142,150,1
Levante,Betis,-4,1,6.185,13.225,16.545,17,9,148,152,2
Sevilla,Atl. Madrid,5,13,25.32,71.115,37.884,5,2,162,166,2
Valencia,Real Sociedad,3,3,39.805,23.295,37.195,4,13,156,156,1
Ath Bilbao,Malaga,-4,-7,24.94,5.52,37.518,14,20,158,154,1
Villarreal,Getafe,1,6,22,6.56,16.125,6,10,160,144,1
Barcelona,Girona,9,5,109,8.175,85.417,1,9,170,142,1
Leganes,Las Palmas,-1,-1,5.855,9.125,9.325,13,18,150,154,0
Real Madrid,Alaves,11,8,95.535,7.48,75.181,4,15,172,150,1
Celta Vigo,Eibar,-1,3,17.305,6.005,15.383,11,8,156,152,1
Dep. La Coruna,Espanyol,-7,2,6.645,9.78,18.028,19,16,152,154,0
Eibar,Villarreal,1,1,6.005,22,4.056,8,5,152,160,1
Atl. Madrid,Leganes,13,-2,71.115,5.855,35.033,2,13,166,150,1
Ath Bilbao,Valencia,1,8,24.94,39.805,34.382,12,4,158,156,0
Getafe,Dep. La Coruna,1,-4,6.56,6.645,5.097,11,19,144,152,1
Malaga,Sevilla,-9,1,5.52,25.32,15.516,20,6,154,162,2
Girona,Celta Vigo,1,1,8.175,17.305,6.392,11,10,142,156,1
Espanyol,Real Madrid,4,10,9.78,95.535,19.805,16,3,154,172,1
Alaves,Levante,6,-7,7.48,6.185,16.812,16,17,150,148,1
Las Palmas,Barcelona,4,8,9.125,109,23.778,18,1,154,170,0
