team1,team2,team1 history points,team2 history points,team1 market value,team2 market value,audience,team1 table position,team2 table position,team1 Rank,team2 Rank,result
Malaga,Alaves,-4,1,5.52,7.48,14.024,20,15,154,150,2
Villarreal,Valencia,5,-1,22,39.805,19.079,6,4,160,156,1
Celta Vigo,Dep. La Coruna,-3,2,17.305,6.645,20.816,11,18,156,152,0
Ath Bilbao,Betis,-6,11,24.94,13.225,34.491,16,5,158,152,1
Girona,Eibar,1,1,8.175,6.005,9.706,9,12,142,152,2
Sevilla,Real Sociedad,1,8,25.32,23.295,34.733,8,11,162,156,1
Levante,Barcelona,13,8,6.185,109,22.384,14,1,148,170,1
Espanyol,Malaga,6,-4,9.78,5.52,15.004,15,20,154,154,1
Real Madrid,Celta Vigo,3,1,95.535,17.305,56.474,3,12,172,156,1
Dep. La Coruna,Villarreal,1,8,6.645,22,12.885,18,6,152,160,2
Alaves,Ath Bilbao,3,0,7.48,24.94,19.458,15,16,150,158,1
Betis,Sevilla,4,5,13.225,25.32,55.588,6,7,152,162,0
Getafe,Atl. Madrid,11,-1,6.56,71.115,12.187,8,2,144,166,2
Girona,Valencia,-1,-3,8.175,39.805,10.85,9,4,142,156,2
Eibar,Las Palmas,6,-6,6.005,9.125,5.107,10,19,152,154,1
Real Sociedad,Leganes,1,-6,23.295,5.855,19.981,12,17,156,150,1
Barcelona,Real Sociedad,4,3,109,23.295,82.444,1,10,170,156,1
Atl. Madrid,Eibar,5,6,71.115,6.005,63.229,2,9,166,152,0
Ath Bilbao,Espanyol,-4,11,24.94,9.78,28.492,16,15,158,154,2
Valencia,Dep. La Coruna,3,-4,39.805,6.645,35.376,4,18,156,152,1
Villarreal,Real Madrid,8,6,22,95.535,18.891,5,3,160,172,0
Malaga,Getafe,-4,4,5.52,6.56,9.57,20,8,154,144,2
Las Palmas,Girona,-6,-6,9.125,8.175,6.362,19,12,154,142,2
Sevilla,Alaves,6,8,25.32,7.48,22.513,7,13,162,150,1
Leganes,Betis,-7,3,5.855,13.225,10.813,17,6,150,152,1
Celta Vigo,Levante,-4,13,17.305,6.185,10.48,14,15,156,148,1
,,4,4,23.41,17.47,16.215,10,10,156,154,0
,,4,4,23.065,30.095,16.25,10,10,160,156,2
,,4,4,116,11.08,52.356,10,10,170,150,1
,,4,4,9.39,6.14,4.234,10,10,152,140,2
,,4,4,0,30.63,11.626,10,10,0,162,2
,,4,4,89.61,13.22,48.446,10,10,172,144,1
,,4,4,49.965,96.97,46.174,10,10,156,166,0
,,4,4,23.425,11.245,38.327,10,10,158,150,1
,,4,4,29.075,10.785,46.225,10,10,152,148,2
,,4,4,9.725,8.3,10.368,10,10,142,144,0
,,-1,-1,13.22,9.39,7.851,17,19,144,152,1
,,-1,6,11.245,30.095,9.735,16,1,150,156,0
,,-1,-1,11.08,29.075,18.221,17,16,150,152,0
,,4,4,96.97,0,52.693,11,10,166,0,1
,,4,6,8.3,116,22.651,14,3,144,170,2
,,4,4,17.47,49.965,18.714,11,12,154,156,1
,,6,-1,30.63,23.065,35.831,6,20,162,160,0
,,4,6,9.725,89.61,13.889,13,7,142,172,2
,,6,4,10.785,23.41,21.122,9,11,148,156,2
,,6,6,23.425,6.14,36.818,9,8,158,140,0
,,4,6,0,23.425,11.85,10,9,0,158,0
,,3,-1,13.22,8.3,9.817,11,14,144,144,0
,,1,-1,23.065,9.725,15.74,18,14,160,142,2
,,-4,6,9.39,30.095,6.144,20,4,152,156,1
,,6,6,23.41,96.97,19.262,8,5,156,166,1
,,8,1,89.61,11.245,59.255,3,16,172,150,1
,,1,-1,10.785,49.965,22.55,12,15,148,156,0
,,1,6,11.08,17.47,13.102,18,7,150,154,1
,,8,6,116,6.14,71.057,3,9,170,140,1
,,1,6,29.075,30.63,52.819,18,8,152,162,1
,,1,4,6.14,0,6.498,9,10,140,0,2
,,1,0,96.97,9.39,55.674,6,15,166,152,0
,,1,10,30.095,116,26.756,6,2,156,170,2
,,1,3,49.965,29.075,40.05,17,14,156,152,0
,,6,10,23.425,89.61,46.413,4,2,158,172,0
,,-4,-4,11.245,23.065,10.432,18,19,150,160,2
,,1,3,17.47,10.785,18.627,8,13,154,148,1
,,1,3,8.3,11.08,18.875,18,14,144,150,2
,,1,3,30.63,13.22,36.943,10,12,162,144,2
,,3,8,9.725,23.41,9.696,13,3,142,156,1
,,1,-6,9.39,11.245,4.456,15,19,152,150,1
,,-1,-1,6.14,30.095,6.948,14,12,140,156,2
,,3,-4,23.41,8.3,16.552,3,18,156,144,0
,,6,3,13.22,96.97,12.756,6,11,144,166,2
,,11,5,89.61,17.47,67.658,2,5,172,154,1
,,-1,-1,10.785,30.63,21.52,15,13,148,162,2
,,1,1,23.065,49.965,18.373,16,17,160,156,0
,,4,7,29.075,23.425,51.093,13,12,152,158,0
,,13,5,116,9.725,76.055,2,8,170,142,0
,,1,6,17.47,9.39,13.547,6,9,154,152,1
,,0,4,30.095,0,21.51,10,10,156,0,0
,,6,-7,96.97,6.14,47.023,5,15,166,140,1
,,-7,11,11.245,116,12.231,19,2,150,170,1
,,4,3,23.425,23.065,39.672,12,14,158,160,2
,,2,6,49.965,23.41,35.495,17,5,156,156,0
,,0,11,30.63,89.61,40.972,12,1,162,172,1
,,-1,-6,8.3,10.785,16.44,19,17,144,148,1
,,6,4,11.08,13.22,18.373,10,11,150,144,0
,,6,6,9.725,29.075,11.358,7,14,142,152,2
,,4,3,0,17.47,12.102,10,4,0,154,0
,,1,4,30.095,49.965,23.577,9,16,156,156,2
,,4,-1,116,23.425,78.015,2,15,170,158,0
,,4,3,9.39,30.63,5.443,15,5,152,162,2
,,4,6,89.61,96.97,78.642,2,4,172,166,0
,,-9,4,6.14,9.725,6.779,17,8,140,142,0
,,6,3,23.065,8.3,15.602,10,16,160,144,2
,,-7,8,10.785,11.08,20.239,18,12,148,150,1
,,9,-2,29.075,11.245,48.115,7,19,152,150,1
,,4,3,23.41,13.22,14.33,7,13,156,144,0
,,4,3,11.08,89.61,17.329,13,2,150,172,1
,,-4,4,11.245,0,10.801,19,10,150,0,1
,,1,-1,23.425,30.095,46.86,15,12,158,156,2
,,4,-2,9.725,9.39,10.434,10,16,142,152,2
,,4,-2,13.22,10.785,9.375,13,17,144,148,2
,,6,-4,8.3,6.14,17.474,13,19,144,140,1
,,8,8,96.97,29.075,63.719,4,5,166,152,1
,,8,2,30.63,23.41,38.141,4,10,162,156,1
,,6,4,17.47,23.065,19.485,7,15,154,160,1
,,6,4,49.965,116,46.28,16,3,156,170,0
,,-1,6,23.41,11.08,15.805,10,8,156,150,2
,,-1,3,89.61,10.785,63.762,4,12,172,148,2
,,6,3,49.965,11.245,35.711,15,18,156,150,0
,,-2,11,23.065,96.97,17.273,16,2,160,166,0
,,1,13,116,30.63,87.244,3,1,170,162,1
,,4,-3,0,13.22,11.856,10,15,0,144,2
,,3,-4,9.39,23.425,6.519,13,17,152,158,0
,,-6,6,6.14,17.47,6.964,19,5,140,154,2
,,3,10,29.075,8.3,42.581,8,9,152,144,2
,,6,-4,30.095,9.725,20.997,11,15,156,142,0
,,13,11,8.3,17.47,18.231,5,2,144,154,0
,,-1,4,9.725,0,6.618,15,10,142,0,1
,,-1,6,23.425,49.965,39.261,17,15,158,156,0
,,8,6,10.785,11.245,19.754,8,18,148,150,1
,,9,3,96.97,30.095,57.514,4,12,166,156,1
,,3,1,13.22,29.075,12.086,11,10,144,152,1
,,4,-6,116,89.61,93.265,2,8,170,172,1
,,5,1,11.08,23.065,16.956,9,17,150,160,1
,,6,-6,30.63,6.14,33.022,5,19,162,140,1
,,-1,8,11.245,96.97,11.157,18,2,150,166,0
,,-7,11,89.61,8.3,68.12,9,6,172,144,1
,,4,8,0,116,13.621,10,1,0,170,2
,,7,3,49.965,9.725,38.823,14,10,156,142,2
,,1,8,9.39,11.08,5.698,13,5,152,150,1
,,-6,13,23.065,10.785,16.855,17,8,160,148,0
,,-1,8,30.095,30.63,24.81,13,3,156,162,0
,,-7,5,6.14,13.22,6.445,19,10,140,144,0
,,-4,-4,29.075,23.41,41.973,13,15,152,156,0
,,11,4,10.785,30.095,18.959,7,12,148,156,2
,,4,6,8.3,9.39,16.136,8,12,144,152,0
,,6,-1,13.22,49.965,9.851,10,14,144,156,2
,,9,1,96.97,23.425,59.029,2,16,166,158,1
,,6,4,9.725,11.245,9.715,9,18,142,150,0
,,6,-4,11.08,6.14,14.554,5,19,150,140,1
,,10,-4,116,29.075,81.617,1,14,170,152,2
,,6,8,30.63,17.47,38.809,3,5,162,154,1
,,4,-1,0,23.065,11.63,10,17,0,160,0
,,-2,-2,23.41,89.61,21.184,15,6,156,172,2
