team1 ID,team2 ID,team1 market value,team2 market value,audience,team1 table position,team2 table position,team1 league titles,team2 league titles,team1 champions league titles,team2 champions league titles,team1 europa league titles,team2 europa league titles,team1 Rank,team2 Rank,result
16,18,55.2,60.05,24.838,10,10,0,0,0,0,0,0,154,152,2
15,20,61.85,220.0,12.942,10,10,0,0,0,0,0,1,148,160,1
7,1,66.45,955.35,27.77,10,10,1,33,0,12,0,2,152,172,2
2,8,1090.0,132.25,56.48,10,10,24,1,5,0,0,0,170,152,1
4,13,249.4,65.6,37.884,10,10,8,0,0,0,0,0,158,144,0
9,17,253.2,97.8,30.487,10,10,1,0,0,0,5,0,162,154,0
14,3,81.75,711.15,11.511,10,10,0,10,0,0,0,2,142,166,0
11,6,173.05,232.95,16.961,10,10,0,2,0,0,0,0,156,156,2
5,19,398.05,91.25,35.971,10,10,6,0,0,0,1,0,156,154,1
10,12,58.55,74.8,9.231,10,10,0,0,0,0,0,0,150,150,1
1,5,955.35,398.05,61.739,3,6,33,6,12,0,2,1,172,156,0
13,9,65.6,253.2,9.427,9,10,0,1,0,0,0,5,144,162,2
18,4,60.05,249.4,5.948,4,9,0,8,0,0,0,0,152,158,2
17,10,97.8,58.55,17.895,11,9,0,0,0,0,0,0,154,150,2
19,3,91.25,711.15,20.31,19,12,0,10,0,0,0,2,154,166,2
14,16,81.75,55.2,9.748,13,18,0,0,0,0,0,0,142,154,1
15,7,61.85,66.45,16.345,9,14,0,1,0,0,0,0,148,152,0
12,2,74.8,1090.0,14.934,17,10,0,24,0,5,0,0,150,170,2
8,11,132.25,173.05,43.801,15,16,1,0,0,0,0,0,152,156,1
6,20,232.95,220.0,19.792,11,20,2,0,0,0,0,1,156,160,1
16,19,55.2,91.25,22.697,18,19,0,0,0,0,0,0,154,154,2
20,8,220.0,132.25,18.638,20,12,0,1,0,0,1,0,160,152,1
11,12,173.05,74.8,6.133,18,19,0,0,0,0,0,0,156,150,1
4,14,249.4,81.75,39.952,7,9,8,0,0,0,0,0,158,142,1
7,6,66.45,232.95,21.942,18,4,1,2,0,0,0,0,152,156,2
2,17,1090.0,97.8,72.857,4,17,24,0,5,0,0,0,170,154,1
9,18,253.2,60.05,32.469,7,11,1,0,0,0,5,0,162,152,1
5,3,398.05,711.15,43.859,7,8,6,10,0,0,1,2,156,166,0
1,15,955.35,61.85,67.789,8,10,33,0,12,0,2,0,172,148,0
10,13,58.55,65.6,11.454,5,16,0,0,0,0,0,0,150,144,2
17,11,97.8,173.05,14.853,17,16,0,0,0,0,0,0,154,156,1
6,1,232.95,955.35,24.675,1,8,2,33,0,12,0,2,156,172,2
