,HomeTeam,AwayTeam
163,Eibar,Girona
164,Betis,Ath Bilbao
165,Espanol,Ath Madrid
166,La Coruna,Celta
167,Real Madrid,Barcelona
168,Valencia,Villarreal
169,Ath Madrid,Getafe
170,Las Palmas,Eibar
171,Sevilla,Betis
172,Valencia,Girona
173,Ath Bilbao,Alaves
174,Barcelona,Levante
175,Celta,Real Madrid
176,Leganes,Sociedad
177,Villarreal,La Coruna
178,Malaga,Espanol
179,Getafe,Malaga
180,Eibar,Ath Madrid
181,Girona,Las Palmas
182,La Coruna,Valencia
183,Real Madrid,Villarreal
184,Alaves,Sevilla
185,Espanol,Ath Bilbao
186,Levante,Celta
187,Sociedad,Barcelona
188,Betis,Leganes
189,Getafe,Ath Bilbao
190,Ath Madrid,Girona
191,Espanol,Sevilla
192,Las Palmas,Valencia
193,Villarreal,Levante
194,Alaves,Leganes
195,Betis,Barcelona
196,Real Madrid,La Coruna
197,Sociedad,Celta
198,Eibar,Malaga
199,Ath Bilbao,Eibar
200,La Coruna,Levante
201,Malaga,Girona
202,Valencia,Real Madrid
203,Villarreal,Sociedad
204,Ath Madrid,Las Palmas
205,Barcelona,Alaves
206,Leganes,Espanol
207,Sevilla,Getafe
208,Celta,Betis
209,Sociedad,La Coruna
210,Alaves,Celta
211,Betis,Villarreal
212,Eibar,Sevilla
213,Levante,Real Madrid
214,Ath Madrid,Valencia
215,Espanol,Barcelona
216,Getafe,Leganes
217,Girona,Ath Bilbao
218,Las Palmas,Malaga
219,Ath Bilbao,Las Palmas
220,Leganes,Eibar
221,Malaga,Ath Madrid
222,Real Madrid,Sociedad
223,Villarreal,Alaves
224,Barcelona,Getafe
225,Celta,Espanol
226,Sevilla,Girona
227,Valencia,Levante
228,La Coruna,Betis
229,Girona,Leganes
230,Alaves,La Coruna
231,Eibar,Barcelona
232,Las Palmas,Sevilla
233,Malaga,Valencia
234,Ath Madrid,Ath Bilbao
235,Betis,Real Madrid
236,Espanol,Villarreal
237,Sociedad,Levante
238,Getafe,Celta
239,Leganes,Real Madrid
240,La Coruna,Espanol
241,Barcelona,Girona
242,Celta,Eibar
243,Leganes,Las Palmas
244,Real Madrid,Alaves
245,Ath Bilbao,Malaga
246,Sevilla,Ath Madrid
247,Valencia,Sociedad
248,Villarreal,Getafe
249,Levante,Betis
250,Espanol,Real Madrid
251,Girona,Celta
252,Ath Bilbao,Valencia
253,Ath Madrid,Leganes
254,Eibar,Villarreal
255,Getafe,La Coruna
256,Malaga,Sevilla
257,Alaves,Levante
258,Betis,Sociedad
259,Las Palmas,Barcelona
260,La Coruna,Eibar
261,Leganes,Malaga
262,Real Madrid,Getafe
263,Sevilla,Ath Bilbao
264,Villarreal,Girona
265,Barcelona,Ath Madrid
266,Levante,Espanol
267,Sociedad,Alaves
268,Valencia,Betis
269,Celta,Las Palmas
270,Girona,La Coruna
271,Eibar,Real Madrid
272,Getafe,Levante
273,Malaga,Barcelona
274,Sevilla,Valencia
275,Ath Bilbao,Leganes
276,Ath Madrid,Celta
277,Espanol,Sociedad
278,Las Palmas,Villarreal
279,Alaves,Betis
280,Levante,Eibar
281,Betis,Espanol
282,La Coruna,Las Palmas
283,Sociedad,Getafe
284,Valencia,Alaves
285,Barcelona,Ath Bilbao
286,Celta,Malaga
287,Leganes,Sevilla
288,Real Madrid,Girona
289,Villarreal,Ath Madrid
290,Ath Bilbao,Celta
291,Girona,Levante
292,Las Palmas,Real Madrid
293,Sevilla,Barcelona
294,Ath Madrid,La Coruna
295,Eibar,Sociedad
296,Espanol,Alaves
297,Leganes,Valencia
298,Malaga,Villarreal
299,Getafe,Betis
300,La Coruna,Malaga
301,Alaves,Getafe
302,Barcelona,Leganes
303,Betis,Eibar
304,Celta,Sevilla
305,Levante,Las Palmas
306,Real Madrid,Ath Madrid
307,Sociedad,Girona
308,Valencia,Espanol
309,Villarreal,Ath Bilbao
310,Girona,Betis
311,Ath Bilbao,La Coruna
312,Barcelona,Valencia
313,Las Palmas,Sociedad
314,Leganes,Celta
315,Sevilla,Villarreal
316,Ath Madrid,Levante
317,Eibar,Alaves
318,Getafe,Espanol
319,Malaga,Real Madrid
320,Celta,Barcelona
321,La Coruna,Sevilla
322,Villarreal,Leganes
323,Espanol,Eibar
324,Real Madrid,Ath Bilbao
325,Valencia,Getafe
326,Alaves,Girona
327,Betis,Las Palmas
328,Levante,Malaga
329,Sociedad,Ath Madrid
330,Leganes,La Coruna
331,Celta,Valencia
332,Eibar,Getafe
333,Ath Madrid,Betis
334,Girona,Espanol
335,Las Palmas,Alaves
336,Malaga,Sociedad
337,Ath Bilbao,Levante
338,Levante,Sevilla
339,Espanol,Las Palmas
340,Real Madrid,Leganes
341,Sociedad,Ath Bilbao
342,Villarreal,Celta
343,Alaves,Ath Madrid
344,Getafe,Girona
345,La Coruna,Barcelona
346,Valencia,Eibar
347,Betis,Malaga
348,Sevilla,Sociedad
349,Ath Bilbao,Betis
350,Celta,La Coruna
351,Girona,Eibar
352,Villarreal,Valencia
353,Ath Madrid,Espanol
354,Barcelona,Real Madrid
355,Las Palmas,Getafe
356,Malaga,Alaves
357,Leganes,Levante
358,Barcelona,Villarreal
359,Sevilla,Real Madrid
360,Alaves,Ath Bilbao
361,Betis,Sevilla
362,Eibar,Las Palmas
363,Getafe,Ath Madrid
364,Girona,Valencia
365,La Coruna,Villarreal
366,Real Madrid,Celta
367,Sociedad,Leganes
368,Espanol,Malaga
369,Levante,Barcelona
370,Celta,Levante
371,Las Palmas,Girona
372,Leganes,Betis
373,Malaga,Getafe
374,Sevilla,Alaves
375,Villarreal,Real Madrid
376,Ath Bilbao,Espanol
377,Ath Madrid,Eibar
378,Barcelona,Sociedad
379,Valencia,La Coruna
