history points difference,market value difference,audience,table position difference,league titles difference,champions league titles difference,europa league titles difference,Rank difference,result
6,-4.695,18.215,6,0,0,-1,-2,2
-3,1.615000000000001,10.095,-1,0,0,0,-1,1
7,63.635,49.937,-14,10,0,2,8,1
5,-33.8,5.219,10,-6,0,-1,-2,1
-1,-10.66,27.877,4,1,0,0,-2,2
0,17.805,39.181,-3,6,0,0,-2,2
3,-13.465000000000003,80.264,3,9,7,2,1,2
-12,-61.334999999999994,19.327,13,-10,0,-2,-6,1
-6,-11.715000000000002,42.713,-7,-7,0,0,-3,2
2,1.959999999999999,18.733,-1,0,0,0,-2,1
6,-2.170000000000001,4.867,2,0,0,0,5,1
-8,-2.025000000000002,17.205,9,1,0,-5,-3,1
-4,-2.5650000000000004,9.231,-6,0,0,0,-5,1
-3,-4.259999999999999,12.149,4,0,0,0,0,2
0,17.46,41.0,-4,8,0,0,4,1
9,102.815,56.38,-15,24,5,0,11,1
0,-17.439999999999998,7.523,5,-2,0,0,-3,1
3,12.095,40.282,-10,0,0,5,5,2
-12,3.12,12.059,13,0,0,0,1,2
-5,31.63,27.749,-7,6,0,1,7,1
0,64.55499999999999,47.023,-10,10,0,2,11,1
2,7.37,41.777,1,1,0,0,1,1
-14,-85.705,23.277,11,-22,-5,0,-7,2
7,-17.84,19.413,13,-1,0,-5,-6,1
-4,-11.12,17.007,1,0,0,0,-4,2
-2,-33.16,19.031,15,-5,0,-1,-2,2
2,-65.11,6.186,4,-10,0,-2,-7,2
0,73.535,63.403,-2,33,12,1,6,2
7,-0.9499999999999993,10.037,-7,0,0,0,-6,1
2,1.0399999999999991,9.513,-4,0,0,0,-5,1
-5,-95.775,53.426,7,-23,-5,0,-9,2
-8,5.989999999999998,19.081,3,2,0,0,0,2
5,88.89,63.504,-14,32,12,2,10,1
-10,-30.68,20.242,17,-6,0,-1,-1,1
15,15.815,16.773,-12,0,0,1,6,1
15,-15.540000000000001,19.607,8,-1,0,-5,-4,2
10,4.08,14.667,-1,-1,0,0,2,1
7,101.52,62.369,-15,24,5,0,10,1
8,61.989999999999995,55.363,-17,10,0,2,6,1
-1,-3.925,10.132,-1,0,0,0,-2,1
15,-1.2949999999999982,15.052,-10,-2,0,1,2,1
0,-55.73,47.034,-1,-27,-12,-1,-8,2
-3,3.6049999999999995,17.424,-1,0,0,0,0,1
10,31.309999999999995,49.596,-2,4,0,1,5,1
-3,-16.765,9.602,-2,-8,0,0,-8,1
-11,-9.825,19.437,10,0,0,0,-3,1
-9,-8.775,50.102,7,1,0,-1,-4,1
3,-19.315,5.311,4,-1,0,-5,-5,1
-7,16.65,15.626,-3,1,0,0,2,1
-9,-6.579999999999999,20.49,8,0,0,0,0,2
-3,33.62,38.199,-13,6,0,1,4,1
-10,17.145,33.129,-4,1,0,5,10,1
8,72.24,63.811,-10,31,12,2,8,1
0,-0.15000000000000036,9.327,4,0,0,0,-1,2
-14,-65.595,25.482,18,-10,0,-2,-6,2
0,14.52,14.984,-11,0,0,1,5,2
-2,-10.745000000000001,8.367,2,0,0,0,-6,1
-8,-82.31,53.486,5,-32,-12,-2,-10,2
9,46.175,60.022,-11,2,0,2,4,1
-1,17.11,18.173,-2,2,0,0,4,1
-2,-34.285,21.134,16,-6,0,-1,-1,2
11,0.8349999999999991,19.453,-3,-1,0,0,-1,1
-1,-102.995,6.76,6,-24,-5,0,-9,2
0,-16.195,19.161,12,-1,0,-5,-4,2
0,2.320000000000001,9.142,-1,0,0,0,-4,1
-5,-7.039999999999999,16.545,8,-1,0,0,-2,2
-8,-45.794999999999995,37.884,3,-9,0,3,-2,2
0,16.51,37.195,-9,4,0,1,0,1
3,19.42,37.518,-6,8,0,0,2,1
-5,15.440000000000001,16.125,-4,0,0,1,8,1
4,100.825,85.417,-8,24,5,0,14,1
3,88.05499999999999,75.181,-11,33,12,2,11,1
-4,11.3,15.383,3,0,0,0,2,1
0,-15.995000000000001,4.056,3,0,0,-1,-4,1
15,65.25999999999999,35.033,-11,10,0,2,8,1
5,-0.08500000000000085,5.097,-8,-1,0,0,-4,1
-10,-19.8,15.516,14,-1,0,-5,-4,2
