team id,club ,La Liga  ,champinos leage,europa leage,market value (euros),average market value (euros),stadium,Rank
1,Real Madrid,33,12,2,896.10m,24.89m,Estadio Santiago Bernabeu (Madrid),379
2,Barcelona,25,5,0,1.16b,29.72m,Camp Nou (Barcelona),317
3,Atl. Madrid,10,0,2,969.70m,26.21m,Metropolitano Stadium (Madrid),230
4,Ath Bilbao,8,0,0,234.25m,7.32m,Estadio San Mames (Bilbao),81
5,Valencia,6,0,1,499.65m,15.14m,Estadio de Mestalla (Valencia),124
6,Real Sociedad,2,0,0,300.95m,9.12m,Reale Arena (San Sebastian),15
7,Huesca,0,0,0,61.40m,1.57m,Estadio El Alcoraz (Huesca),7
8,Betis,1,0,0,290.75m,8.55m,Estadio Benito Villamarin (Sevilla),12
9,Sevilla,1,0,5,306.30m,8.06m,Estadio Ramon Sanchez Pizjuan (Sevilla),163
10,Leganes,0,0,0,112.45m,2.96m,Estadio Municipal de Butarque (Leganes),4
11,Celta Vigo,0,0,0,234.10m,7.80m,Estadio de Balaidos (Vigo),19
12,Alaves,0,0,0,110.80m,3.82m,Estadio Mendizorrotza (Vitoria-Gasteiz),3
13,Getafe,0,0,0,132.20m,4.72m,Coliseum Alfonso Perez (Getafe),5
14,Girona,0,0,0,97.25m,2.95m,Estadio Municipal de Montilivi (Girona),4
15,Levante,0,0,0,107.85m,3.48m,Estadi Ciutat de Valencia (Valencia),13
16,Rayo Vallecano  ,0,0,0,86.70m,2.41m,Campo de Futbol de Vallecas (Madrid),22
17,Espanyol,0,0,0,174.70m,5.82m,RCDE Stadium (Cornella de Llobregat),2
18,Eibar,0,0,0,93.90m,3.24m,Estadio Municipal de Ipurua (Eibar),1
19,Valladolid,0,0,0,83.00m,2.02m,Estadio Jose Zorrilla (Valladolid),1
20,Villarreal,0,0,1,230.65m,7.21m,Estadio de la Ceramica (Villarreal),102
