team1 history points,team2 history points,team1 market value,team2 market value,audience,team1 table position,team2 table position,team1 Rank,team2 Rank,result
-2,8,9.78,6.56,11.756,14,10,154,144,1
13,13,39.805,109,47.775,2,1,156,170,0
9,3,22,25.32,18.698,6,5,160,162,2
3,-9,23.295,9.125,19.78,7,19,156,154,0
-4,-4,6.645,24.94,20.879,16,15,152,158,0
3,9,6.185,71.115,21.549,13,5,148,166,2
-1,11,13.225,8.175,45.681,9,11,152,142,0
6,3,95.535,5.52,75.671,5,18,172,154,1
-4,1,7.48,6.005,19.272,20,17,150,152,2
-4,-4,17.305,5.855,10.611,14,9,156,150,1
9,-4,8.175,7.48,7.316,10,20,142,150,2
-4,-1,9.125,13.225,16.313,20,8,154,152,1
5,3,6.005,9.78,4.693,15,13,152,154,1
4,11,6.56,39.805,12.48,13,2,144,156,1
-9,1,5.855,22,10.017,10,6,150,160,1
-1,6,24.94,95.535,44.884,16,4,158,172,0
8,1,25.32,6.645,32.017,5,17,162,152,1
8,4,71.115,23.295,57.394,5,8,166,156,1
11,3,109,17.305,63.208,1,12,170,156,0
1,-2,5.52,6.185,17.886,20,15,154,148,0
-4,2,9.78,8.175,13.846,14,12,154,142,2
-1,9,22,109,21.087,6,1,160,170,2
1,2,6.185,24.94,18.005,15,16,148,158,2
-4,11,13.225,71.115,45.517,11,3,152,166,2
2,1,23.295,5.52,16.834,9,20,156,154,2
4,6,39.805,17.305,35.633,3,12,156,156,1
-6,-2,6.645,5.855,18.366,17,7,152,150,1
9,8,95.535,25.32,76.924,4,5,172,162,1
5,8,6.56,6.005,9.317,10,13,144,152,0
3,1,7.48,9.125,18.567,20,19,150,154,1
-4,8,5.855,95.535,11.423,7,4,150,172,2
6,-6,5.52,13.225,22.488,19,11,154,152,2
9,1,109,6.645,53.607,1,17,170,152,1
-1,-4,9.125,9.78,14.02,20,15,154,154,0
-1,-7,17.305,22,18.215,12,6,156,160,2
3,6,8.175,6.56,10.095,9,10,142,144,1
10,3,71.115,7.48,49.937,4,18,166,150,1
11,6,6.005,39.805,5.219,13,3,152,156,1
