team id,club ,La Liga  ,champinos leage,europa leage,market value (euros),average market value (euros),stadium,Rank
1,Real Madrid,33,12,2,955.35m,29.85m,Estadio Santiago Bernab?u (Madrid),379
2,Barcelona,24,5,0,1.09b,34.19m,Camp Nou (Barcelona),317
3,Atl. Madrid,10,0,2,711.15m,19.75m,Metropolitano Stadium (Madrid),230
4,Ath Bilbao,8,0,0,249.40m,7.56m,Estadio San Mam?s (Bilbao),81
5,Valencia,6,0,1,398.05m,13.27m,Estadio de Mestalla (Valencia),124
6,Real Sociedad,2,0,0,232.95m,8.03m,Reale Arena (San Sebastian),15
7,Dep. La Coruna,1,0,0,66.45m,1.85m,Estadio Municipal de Riazor (La Coru?a),7
8,Betis,1,0,0,132.25m,4.27m,Estadio Benito Villamar?n (Sevilla),12
9,Sevilla,1,0,5,253.20m,7.67m,Estadio Ram?n S?nchez Pizju?n (Sevilla),163
10,Leganes,0,0,0,58.55m,1.72m,Estadio Municipal de Butarque (Leganes),4
11,Celta Vigo,0,0,0,173.05m,5.41m,Estadio de Bala?dos (Vigo),19
12,Alaves,0,0,0,74.80m,2.27m,Estadio Mendizorrotza (Vitoria-Gasteiz),3
13,Getafe,0,0,0,65.60m,1.82m,Coliseum Alfonso Perez (Getafe),5
14,Girona,0,0,0,81.75m,2.73m,Estadio Municipal de Montilivi (Girona),4
15,Levante,0,0,0,61.85m,1.67m,Estadi Ciutat de Val?ncia (Valencia),13
16,Malaga,0,0,0,55.20m,1.38m,Estadio La Rosaleda (M?laga),22
17,Espanyol,0,0,0,97.80m,3.37m,RCDE Stadium (Cornella de Llobregat),2
18,Eibar,0,0,0,60.05m,1.82m,Estadio Municipal de Ipurua (Eibar),1
19,Las Palmas,0,0,0,91.25m,2.40m,Estadio de Gran Canaria (Las Palmas),1
20,Villarreal,0,0,1,220.00m,5.50m,Estadio de la Ceramica (Villarreal),102
